"VALUE","CLASS_NAME","RED","GREEN","BLUE","OPACITY"
146,NA,0,0,0,1
147,NA,0,0,0,1
148,NA,0,0,0,1
149,NA,0,0,0,1
150,NA,0,0,0,1
151,NA,0,0,0,1
152,"Shrubland",0.77647058824,0.83921568628,0.61960784314,1
153,NA,0,0,0,1
154,NA,0,0,0,1
155,NA,0,0,0,1
156,NA,0,0,0,1
157,NA,0,0,0,1
158,NA,0,0,0,1
159,NA,0,0,0,1
160,NA,0,0,0,1
161,NA,0,0,0,1
162,NA,0,0,0,1
163,NA,0,0,0,1
164,NA,0,0,0,1
165,NA,0,0,0,1
166,NA,0,0,0,1
167,NA,0,0,0,1
168,NA,0,0,0,1
169,NA,0,0,0,1
170,NA,0,0,0,1
171,NA,NA,NA,NA,NA
172,NA,0,0,0,1
173,NA,0,0,0,1
174,NA,0,0,0,1
175,NA,0,0,0,1
176,"Grass/Pasture",0.90980392157,1,0.74901960784,1
177,NA,0,0,0,1
178,NA,0,0,0,1
179,NA,0,0,0,1
180,NA,0,0,0,1
181,NA,0,0,0,1
182,NA,0,0,0,1
183,NA,0,0,0,1
184,NA,0,0,0,1
185,NA,0,0,0,1
186,NA,0,0,0,1
187,NA,0,0,0,1
188,NA,0,0,0,1
189,NA,0,0,0,1
190,"Woody Wetlands",0.49803921569,0.69803921569,0.69803921569,1
191,NA,0,0,0,1
192,NA,0,0,0,1
193,NA,0,0,0,1
194,NA,0,0,0,1
195,"Herbaceous Wetlands",0.49803921569,0.69803921569,0.69803921569,1
196,NA,0,0,0,1
197,NA,0,0,0,1
198,NA,0,0,0,1
199,NA,0,0,0,1
200,NA,0,0,0,1
201,NA,0,0,0,1
202,NA,0,0,0,1
203,NA,0,0,0,1
204,"Pistachios",0,1,0.54901960784,1
205,"Triticale",0.83921568628,0.61960784314,0.73725490196,1
206,"Carrots",1,0.4,0.4,1
207,"Asparagus",1,0.4,0.4,1
208,"Garlic",1,0.4,0.4,1
209,"Cantaloupes",1,0.4,0.4,1
210,"Prunes",1,0.5568627451,0.66666666667,1
211,"Olives",0.2,0.2862745098,0.2,1
212,"Oranges",0.89803921569,0.43921568628,0.14901960784,1
213,"Honeydew Melons",1,0.4,0.4,1
214,"Broccoli",1,0.4,0.4,1
215,NA,0,0,0,1
216,"Peppers",1,0.4,0.4,1
217,"Pomegranates",0.69803921569,0.60784313726,0.43921568628,1
218,"Nectarines",1,0.5568627451,0.66666666667,1
219,"Greens",1,0.4,0.4,1
220,"Plums",1,0.5568627451,0.66666666667,1
221,"Strawberries",1,0.4,0.4,1
222,"Squash",1,0.4,0.4,1
223,"Apricots",1,0.5568627451,0.66666666667,1
224,"Vetch",0,0.6862745098,0.29803921569,1
225,"Dbl Crop WinWht/Corn",1,0.82745098039,0,1
226,"Dbl Crop Oats/Corn",1,0.82745098039,0,1
227,"Lettuce",1,0.4,0.4,1
228,NA,0,0,0,1
229,"Pumpkins",1,0.4,0.4,1
230,"Dbl Crop Lettuce/Durum Wht",0.53725490196,0.38823529412,0.32941176471,1
231,"Dbl Crop Lettuce/Cantaloupe",1,0.4,0.4,1
232,"Dbl Crop Lettuce/Cotton",1,0.14901960784,0.14901960784,1
233,"Dbl Crop Lettuce/Barley",0.8862745098,0,0.4862745098,1
234,"Dbl Crop Durum Wht/Sorghum",1,0.61960784314,0.04705882353,1
235,"Dbl Crop Barley/Sorghum",1,0.61960784314,0.04705882353,1
236,"Dbl Crop WinWht/Sorghum",0.64705882353,0.43921568628,0,1
237,"Dbl Crop Barley/Corn",1,0.82745098039,0,1
238,"Dbl Crop WinWht/Cotton",0.64705882353,0.43921568628,0,1
239,"Dbl Crop Soybeans/Cotton",0.14901960784,0.43921568628,0,1
240,"Dbl Crop Soybeans/Oats",0.14901960784,0.43921568628,0,1
241,"Dbl Crop Corn/Soybeans",1,0.82745098039,0,1
242,"Blueberries",0,0,0.6,1
243,"Cabbage",1,0.4,0.4,1
244,"Cauliflower",1,0.4,0.4,1
245,"Celery",1,0.4,0.4,1
246,"Radishes",1,0.4,0.4,1
247,"Turnips",1,0.4,0.4,1
248,"Eggplants",1,0.4,0.4,1
249,"Gourds",1,0.4,0.4,1
250,"Cranberries",1,0.4,0.4,1
251,NA,0,0,0,1
252,NA,0,0,0,1
253,NA,0,0,0,1
254,"Dbl Crop Barley/Soybeans",0.14901960784,0.43921568628,0,1
