"Year","cdlCode","cdlClassName","area_km2"
2016,5,"Soybeans",5.88566499102783
2016,24,"Winter Wheat",37.3274199888873
2016,28,"Oats",0.390155811401367
2016,36,"Alfalfa",1.69311016802979
2016,37,"Other Hay/Non Alfalfa",0.00416853381347656
2016,61,"Fallow/Idle Cropland",21.7679613851031
2016,111,"Open Water",0.03819400390625
2016,121,"Developed/Open Space",9.81125484480723
2016,131,"Barren",0.0222237009887695
2016,176,"Grass/Pasture",35.0616148963106
2016,190,"Woody Wetlands",0.0326407622070313
2016,205,"Triticale",0.293112651916504
2017,1,"Corn",130.481826667563
2017,4,"Sorghum",10.4181649579482
2017,5,"Soybeans",11.6248596722412
2017,6,"Sunflower",1.26426996990967
2017,24,"Winter Wheat",26.6950015023078
2017,28,"Oats",0.381763326201315
2017,36,"Alfalfa",0.475164842895508
2017,61,"Fallow/Idle Cropland",27.9258346879866
2017,111,"Open Water",0.0444439346923828
2017,121,"Developed/Open Space",9.80430301588877
2017,131,"Barren",0.0291677845458984
2017,141,"Deciduous Forest",0.00277652587890625
2017,176,"Grass/Pasture",35.2626974837515
2017,190,"Woody Wetlands",0.0152794136962891
2017,205,"Triticale",0.839615727233887
