"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",9382109.76,9.38210976,12.7,127,139.7,133.2,152.4,177.8
2007,"irrigation",11295777.51,11.29577751,25.4,127,127,126.6,139.7,215.9
2008,"irrigation",10127837.25,10.12783725,12.7,101.6,114.3,107,114.3,228.6
2009,"irrigation",8691006.24,8.69100624,38.1,76.2,88.9,84.97,88.9,114.3
2010,"irrigation",13801256.37,13.80125637,25.4,127,139.7,132.6,139.7,254
2011,"irrigation",7646155.64999999,7.64615564999999,12.7,76.2,76.2,72.5,76.2,190.5
2012,"irrigation",17844424.56,17.84442456,63.5,190.5,190.5,192.7,203.2,419.1
2013,"irrigation",12480371.28,12.48037128,12.7,139.7,139.7,140,152.4,254
2014,"irrigation",10209847.5,10.2098475,38.1,101.6,101.6,109.7,114.3,342.9
2015,"irrigation",11833913.34,11.83391334,12.7,114.3,127,119.3,139.7,228.6
2016,"irrigation",10198234.62,10.19823462,38.1,88.9,101.6,99.22,114.3,228.6
2017,"irrigation",10021698.27,10.02169827,38.1,88.9,101.6,102.2,114.3,241.3
2006,"recharge",5573916.5367753,5.5739165367753,0,0,0,22.87,16.92,254.7
2007,"recharge",19523506.521735,19.523506521735,0,46.4,76.72,80.1,105.1,306.5
2008,"recharge",14679639.3830211,14.6796393830211,0,4.526,30.79,60.23,92.39,401.2
2009,"recharge",35968021.0373304,35.9680210373304,0,102.9,115.8,147.6,237.4,402.8
2010,"recharge",22731542.5956174,22.7315425956174,0,67.38,79.73,93.26,110.3,372.6
2011,"recharge",18402575.8464153,18.4025758464153,0,0,14,75.5,164.6,398
2012,"recharge",7299112.3116858,7.2991123116858,0,1.305,24.24,29.95,38.26,153
2013,"recharge",4853122.8164523,4.8531228164523,0,0,0,19.91,26.22,209.3
2014,"recharge",10947872.9772918,10.9478729772918,0,3.631,25.19,44.92,53.95,316.3
2015,"recharge",24381216.8330238,24.3812168330238,0,31.88,74.48,100,158.9,406
2016,"recharge",25018903.1211381,25.0189031211381,0,75.14,93.63,102.6,108.2,427.4
2017,"recharge",58087288.7746209,58.0872887746209,34.05,206.1,242.4,238.3,268,511.2
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",126301772.502981,126.301772502981,333.5,460.9,518.9,518.2,584.7,762.2
2007,"etac",134807412.176902,134.807412176902,369.8,482.2,565.9,553.1,662.7,767.9
2008,"etac",140694741.69804,140.69474169804,383.2,466.2,588.4,577.3,677.8,830.9
2009,"etac",139253335.848109,139.253335848109,407.3,429,595.9,571.3,664.9,790.6
2010,"etac",129804520.899216,129.804520899216,331.5,474.9,538.2,532.6,638,849.1
2011,"etac",139102211.309499,139.102211309499,376.3,412.4,626.4,570.7,673,881.8
2012,"etac",112158198.027563,112.158198027563,252.8,386.7,426.6,460.2,602,857.8
2013,"etac",115109748.312344,115.109748312344,318.8,347.1,484.9,472.3,572.9,709.9
2014,"etac",131196197.362919,131.196197362918,331.9,423.9,558.6,538.3,633.5,894
2015,"etac",147498012.487215,147.498012487215,384.7,445.4,620.9,605.2,737.7,877
2016,"etac",138880219.581091,138.880219581091,325.4,521.8,566.5,569.8,641.9,929.7
2017,"etac",162773620.356748,162.773620356748,402.5,603.5,670.9,667.8,735.1,905
2006,"esac",77639514.1504659,77.6395141504659,235.3,302.8,315.6,318.5,336.5,463.6
2007,"esac",85868560.6878141,85.8685606878141,220.5,335.9,361.1,352.3,379.1,420.6
2008,"esac",87333929.3708388,87.3339293708388,245.2,343.7,357.2,358.3,373.4,456.9
2009,"esac",92666051.1301797,92.6660511301797,287.1,359.7,377.1,380.2,413.7,545.6
2010,"esac",77593094.8045209,77.5930948045209,192.7,296.5,330.5,318.4,342.5,460.1
2011,"esac",85541315.5315404,85.5413155315404,241.6,330.9,340.4,351,396.5,538.1
2012,"esac",62964051.7410792,62.9640517410792,157.3,231.2,265.1,258.3,295.8,341.4
2013,"esac",76739177.9381589,76.7391779381589,184.2,292.4,328.4,314.8,338.9,436.5
2014,"esac",75869231.0526297,75.8692310526297,243.5,290.2,306.6,311.3,329,491.6
2015,"esac",90470769.2958168,90.4707692958168,220.2,362.8,380.7,371.2,399.5,574.5
2016,"esac",75633920.0937774,75.6339200937774,230.4,295,309.2,310.3,324.3,463.4
2017,"esac",81731186.9991234,81.7311869991234,261.8,298.5,346.6,335.3,362.2,560.3
2006,"epac",48662258.3449875,48.6622583449875,0,157.1,212.4,199.7,296.1,477.6
2007,"epac",48938851.493775,48.938851493775,0,157.7,242,200.8,303.4,412.7
2008,"epac",53360812.3308597,53.3608123308597,0,111.1,255.2,218.9,322.5,570.3
2009,"epac",46587284.7161742,46.5872847161742,0,0,226.4,191.1,307.6,447.1
2010,"epac",52211426.0930748,52.2114260930748,0,182.4,264.3,214.2,306.7,611.3
2011,"epac",53560895.7861846,53.5608957861846,0,0,299.3,219.8,346.9,600
2012,"epac",49194146.2723299,49.1941462723299,0,153.6,191.8,201.8,304.8,594.6
2013,"epac",38370570.3779958,38.3705703779958,0,0,197.6,157.4,246.5,421.5
2014,"epac",55326966.3139815,55.3269663139815,0,94.7,268.4,227,336.8,525.6
2015,"epac",57027243.1904739,57.0272431904739,0,40.01,257.8,234,375.1,510.5
2016,"epac",63246299.4826479,63.2462994826479,0,210,256.8,259.5,326.2,683
2017,"epac",81042433.3578942,81.0424333578942,0,241.6,355.2,332.5,389.3,589.5
2006,"rofc",126455.3640891,0.1264553640891,0,0,0,0.5188,0,97.52
2007,"rofc",22919.1441102,0.0229191441102,0,0,0,0.09403,0,38.06
2008,"rofc",489267.4978161,0.4892674978161,0,0,0,2.007,0.4519,151.9
2009,"rofc",537381.4082031,0.5373814082031,0,0,0,2.205,0,148
2010,"rofc",70637.1396993,0.0706371396993,0,0,0,0.2898,0,107.8
2011,"rofc",918605.245905,0.918605245905,0,0,0,3.769,0,150.3
2012,"rofc",1664123.8149639,1.6641238149639,0,4.847,6.125,6.828,8.673,79.68
2013,"rofc",197445.6647325,0.1974456647325,0,0,0,0.8101,0.03846,115.5
2014,"rofc",120226.821525,0.120226821525,0,0,0,0.4933,0,115.3
2015,"rofc",1449461.3089734,1.4494613089734,0,0,3.978,5.947,10.59,169.3
2016,"rofc",3875206.055238,3.875206055238,0,0.2644,13.71,15.9,25.57,132.2
2017,"rofc",355526.255007,0.355526255007,0,0,0,1.459,0,320.9
