"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211356.99989,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13472574.8729658,5527,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8658832,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75930761,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19006233.8041191,4324,5459,6128,6063,6723,7693
2012,"N","MZ",14056433.8216968,2343,3696,3840,3790,3967,4177
2013,"N","MZ",15088139.1043287,2680,4020,4519,4408,4854,6346
2014,"N","MZ",13999002.5397751,3461,5053,5374,5254,5562,7354
2015,"N","MZ",29855067.5849149,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19681977.5605659,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.7379041,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3586106.54853405,2760,2997,3086,3066,3127,3354
2008,"N","WH",2271202.8768486,540.8,639.8,685.3,769.4,761.8,2096
2009,"N","WH",4242435.79208004,3364,4152,4290,4245,4359,4753
2010,"N","WH",8344744.00493994,4343,4789,4878,4854,4973,5177
2011,"N","WH",1013722.40226276,776.2,1377,1568,1844,2449,3217
2012,"N","WH",11752163.3731081,3068,4230,4338,4298,4411,4497
2013,"N","WH",2505544.44063345,986.4,1765,1834,1893,1998,2734
2014,"N","WH",5546422.29387456,208.8,1322,1520,1519,1837,2609
2015,"N","WH",2317083.35905944,202.3,500.7,1367,1378,1954,2761
2016,"N","WH",11341570.8763722,3101,4511,4636,4626,4794,5083
2017,"N","WH",5600675.16332289,1010,2361,2507,2523,2763,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344743.2069458,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46898565,3481,4137,4452,4369,4528,5188
2011,"N","SG",721056.07609578,3442,4101,4189,4359,4702,5769
2012,"N","SG",596277.80704629,2844,3403,3493,3456,3525,3642
2013,"N","SG",1829464.07148855,1866,2725,2860,2893,3132,4042
