"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",11258349.975,11.258349975,31.75,158.8,158.8,159.8,190.5,222.2
2007,"irrigation",12080481.3,12.0804813,63.5,127,127,135.4,158.8,222.2
2008,"irrigation",11767527.9,11.7675279,31.75,127,127,124.3,127,254
2009,"irrigation",9649834.65,9.64983465,63.5,95.25,95.25,94.34,95.25,127
2010,"irrigation",15667015.275,15.667015275,31.75,158.8,158.8,150.5,158.8,285.8
2011,"irrigation",8307981.225,8.307981225,31.75,63.5,95.25,80.46,95.25,254
2012,"irrigation",19723979.475,19.723979475,63.5,222.2,222.2,213,222.2,412.8
2013,"irrigation",12421095.3,12.4210953,31.75,127,127,139.3,158.8,254
2014,"irrigation",11031235.875,11.031235875,31.75,95.25,127,118.6,127,349.2
2015,"irrigation",12977936.325,12.977936325,31.75,127,127,130.8,158.8,222.2
2016,"irrigation",12363059.475,12.363059475,63.5,95.25,127,120.3,127,285.8
2017,"irrigation",11179140.075,11.179140075,31.75,95.25,127,114,127,254
2006,"recharge",5843272.0545783,5.8432720545783,0,0,0,23.97,21.98,254.7
2007,"recharge",20905404.4650456,20.9054044650456,0,62.7,86.49,85.77,107,306.5
2008,"recharge",15407142.6436335,15.4071426436335,0,11.6,36.82,63.21,92.39,401.2
2009,"recharge",36708032.3480388,36.7080323480388,0,111.3,119.4,150.6,237.4,402.8
2010,"recharge",22901534.2547217,22.9015342547217,0,68.33,80.8,93.96,111.9,372.6
2011,"recharge",18520189.4723382,18.5201894723382,0,0,17.34,75.99,165.2,398
2012,"recharge",7815234.8756304,7.8152348756304,0,8.707,25.97,32.06,38.25,153
2013,"recharge",4937034.1230666,4.9370341230666,0,0,0,20.26,29.04,209.3
2014,"recharge",11128091.199858,11.128091199858,0,1.318,26.61,45.66,54.95,316.3
2015,"recharge",26338991.2337538,26.3389912337538,0,46.74,83.76,108.1,164.3,406
2016,"recharge",26402218.6106205,26.4022186106205,0,84.24,99.37,108.3,114.1,427.4
2017,"recharge",60628058.2560159,60.6280582560159,34.05,211.1,251.5,248.7,284.8,523
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",126706653.104522,126.706653104522,333.5,460.9,518.7,519.9,583.4,767.8
2007,"etac",134777604.786203,134.777604786203,369.8,482.2,565.9,553,664,761.9
2008,"etac",141495534.715179,141.495534715179,383.2,469.2,588.4,580.5,688.2,836.9
2009,"etac",140078781.595376,140.078781595376,407.3,429,595.9,574.7,672.9,784.2
2010,"etac",130328006.320795,130.328006320795,331.5,474.9,539.6,534.7,641.6,856.8
2011,"etac",140268092.444869,140.268092444869,376.3,412.4,639.5,575.5,677.4,907.3
2012,"etac",112438553.034513,112.438553034513,252.8,386.9,426.7,461.3,605.8,848.9
2013,"etac",116117661.903563,116.117661903563,318.8,347.1,485.1,476.4,581.4,731.7
2014,"etac",131250921.119678,131.250921119678,331.9,424,559,538.5,632.9,888
2015,"etac",147105285.635605,147.105285635605,384.7,448,620.9,603.6,736.7,849.2
