"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0482419,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13473308.7356835,5527,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8609124,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75982862,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19098254.6802928,4324,5471,6160,6073,6723,7693
2012,"N","MZ",14061539.4374364,2438,3696,3840,3791,3967,4177
2013,"N","MZ",15254905.9558306,2680,4112,4555,4457,4906,6481
2014,"N","MZ",14003798.5866537,3461,5053,5374,5256,5563,7354
2015,"N","MZ",29855217.643925,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19681546.8344248,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6871989,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587819.75385498,2760,2997,3086,3067,3127,3354
2008,"N","WH",2339871.96843567,540.8,638.6,685.3,792.6,780.3,2096
2009,"N","WH",4279606.81024464,3364,4173,4317,4282,4398,4753
2010,"N","WH",8355102.44475195,4343,4789,4878,4854,4972,5177
2011,"N","WH",1095081.89108328,776.2,1458,1788,1987,2673,3217
2012,"N","WH",11756242.111793,3068,4230,4338,4300,4411,4497
2013,"N","WH",2510332.60530366,986.4,1768,1834,1897,2044,2745
2014,"N","WH",5661425.79538695,254.6,1342,1568,1550,1837,2609
2015,"N","WH",2351240.38834128,202.3,506,1419,1399,1935,2761
2016,"N","WH",11366772.5705015,3101,4514,4636,4635,4794,5083
2017,"N","WH",5649710.09640219,1010,2380,2572,2545,2831,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344743.65725063,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46898898,3481,4137,4452,4369,4528,5188
2011,"N","SG",722101.59577242,3442,4101,4189,4363,4702,5769
2012,"N","SG",596277.89452746,2844,3403,3493,3456,3525,3642
2013,"N","SG",1834422.57707085,1866,2725,2860,2899,3163,4270
2014,"N","SG",2883066.56496486,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643806.55868504,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102381.66328982,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81273394,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139740.58809351,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.13976367,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.16950243,1742,2110,2132,2169,2234,2990
2011,"N","SB",382348.29622824,2149,2537,2579,2561,2586,3163
2012,"N","SB",357791.23842003,1336,1627,1633,1647,1682,2146
2013,"N","SB",182629.25586486,1268,1545,1579,1613,1688,2157
2014,"N","SB",83442.80069712,2350,2714,2783,2784,2840,3393
2015,"N","SB",135523.40864895,2433,2804,2886,2874,2915,3146
2016,"N","SB",53449.666371,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10430928,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94957.57446957,1431,1742,1775,1779,1870,2047
2009,"N","AL",62469.41057217,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72357161,1642,1888,1888,1935,1908,2469
2011,"N","AL",37623.00121695,1265,1576,1728,1720,1896,2015
2012,"N","AL",17601.15796506,938.1,1173,1192,1200,1252,1337
2013,"N","AL",88690.63066128,489.3,830.5,1087,985.5,1087,1520
2014,"N","AL",144792.70356753,2196,2429,2475,2464,2525,2575
2015,"N","AL",69849.31294881,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54248675,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.61078772,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",53777083.507413,1826,9439,9938,9850,10350,11700
2007,"Y","MZ",77832694.1654993,4519,9940,10180,10110,10310,10900
2008,"Y","MZ",95280027.3252195,10890,12290,12400,12460,12610,13120
2009,"Y","MZ",102262447.220358,10970,12320,12360,12370,12550,13050
2010,"Y","MZ",74796849.7003561,2875,9507,9855,9859,10080,11860
2011,"Y","MZ",86074923.6622173,4697,10020,10330,10320,10680,11820
2012,"Y","MZ",65911736.4655196,3034,8950,9021,8956,9168,9708
2013,"Y","MZ",63498649.2603944,2792,10540,10660,10610,10800,12000
2014,"Y","MZ",68751358.1458798,3467,10580,10810,10740,11010,12220
2015,"Y","MZ",80391577.002048,6242,12400,12540,12490,12720,13380
2016,"Y","MZ",85998880.9443181,4213,11470,11710,11730,11980,13200
2017,"Y","MZ",99204736.797305,4069,13260,13360,13320,13450,13710
2006,"Y","WH",1235540.80242909,1596,4659,4740,4692,4815,4922
2007,"Y","WH",468163.42020135,2935,3133,3134,3143,3159,3337
2008,"Y","WH",322056.10618461,3222,3863,3964,3985,4143,4205
2009,"Y","WH",1012025.5882749,4218,4547,4561,4521,4563,4788
2010,"Y","WH",891303.0215499,4452,4633,4633,4741,4991,5147
2011,"Y","WH",219949.99387911,1550,4237,4242,4295,4581,4684
2012,"Y","WH",1534788.46806066,3883,4261,4327,4336,4408,4644
2013,"Y","WH",1091142.13426839,1458,4042,4079,4021,4124,4335
2014,"Y","WH",2250757.30775247,422.3,3780,3959,3965,4173,4907
2015,"Y","WH",1771576.31388771,286.2,1598,1616,2183,2988,3327
2016,"Y","WH",3832764.07714362,4229,4483,4669,4584,4678,5158
2017,"Y","WH",1523769.50449791,1010,4527,4647,4570,4680,5334
2006,"Y","SG",3935871.45864099,4342,5319,5350,5385,5502,5957
2007,"Y","SG",622203.83391105,3579,5325,5367,5368,5386,5936
2008,"Y","SG",902114.7398838,4158,5416,5461,5468,5500,6015
2009,"Y","SG",601033.09434201,5189,5783,5783,5787,5794,6305
2010,"Y","SG",769110.13916802,4246,5237,5383,5375,5535,5690
2011,"Y","SG",784724.33297637,4323,5106,5159,5178,5189,5689
2012,"Y","SG",762151.23483336,3397,4823,5086,4961,5108,5108
2013,"Y","SG",4416573.08121138,2962,4500,4670,4659,4834,5249
2014,"Y","SG",7159332.92482134,4148,5560,5595,5632,5749,6232
2015,"Y","SG",7105180.28281308,4527,5590,5683,5682,5742,6082
2016,"Y","SG",6293316.73588713,4093,5416,5455,5490,5600,5878
2017,"Y","SG",3327839.91907983,5196,5674,5682,5707,5793,5949
2006,"Y","SB",787609.52071542,2926,3170,3272,3253,3328,3674
2007,"Y","SB",1974503.64649941,2570,3077,3094,3129,3192,3514
2008,"Y","SB",4288393.21814937,2571,3248,3259,3326,3476,3606
2009,"Y","SB",5551239.45143106,3074,3610,3619,3649,3716,3920
2010,"Y","SB",7020718.61450733,2137,3085,3129,3149,3235,3638
2011,"Y","SB",4956266.22888879,2433,3171,3212,3240,3321,3515
2012,"Y","SB",3463243.82661177,1662,2713,2877,2860,3022,3057
2013,"Y","SB",4045393.06600437,1458,2763,2874,2865,2921,3258
2014,"Y","SB",2606134.55162022,2595,3435,3479,3490,3578,3783
2015,"Y","SB",3939830.89916976,2590,3453,3471,3486,3538,3652
2016,"Y","SB",2334301.86740598,2675,3272,3295,3320,3400,3532
2017,"Y","SB",3987573.31552725,2923,3624,3638,3648,3689,3832
2006,"Y","AL",991212.78781143,2581,2809,2890,2870,2924,3021
2007,"Y","AL",901066.72952025,1853,3017,3025,3065,3158,3189
2008,"Y","AL",858645.43566543,2937,2957,3063,3026,3064,3105
2009,"Y","AL",363679.84913634,3105,3144,3153,3172,3155,3276
2010,"Y","AL",731043.42032628,2173,2731,2814,2820,2930,2960
2011,"Y","AL",700843.09320675,2620,2855,2991,2940,3026,3043
2012,"Y","AL",378479.78618193,1252,2459,2479,2523,2629,2662
2013,"Y","AL",569739.58984026,593.6,1925,2220,2142,2327,2676
2014,"Y","AL",873152.39375208,2439,3152,3234,3199,3268,3313
2015,"Y","AL",456140.52666171,1741,2744,2785,2712,2801,2969
2016,"Y","AL",352426.1635611,1347,2641,2643,2693,2855,2895
2017,"Y","AL",490791.70519074,1902,2832,2919,2873,2933,2935
