"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",18883108.665,18.883108665,114.3,285.8,285.8,268.1,285.8,457.2
2007,"irrigation",23054144.265,23.054144265,114.3,266.7,266.7,258.4,266.7,400.1
2008,"irrigation",25487208.36,25.48720836,57.15,266.7,285.8,266.9,285.8,400.1
2009,"irrigation",23796334.17,23.79633417,57.15,228.6,228.6,230.3,247.6,362
2010,"irrigation",28123989.345,28.123989345,114.3,266.7,266.7,270.1,285.8,514.4
2011,"irrigation",21677537.925,21.677537925,95.25,190.5,209.5,205.5,209.5,533.4
2012,"irrigation",32097891.735,32.097891735,152.4,342.9,362,346.7,362,781
2013,"irrigation",24269381.865,24.269381865,114.3,266.7,285.8,272.2,285.8,476.2
2014,"irrigation",22414927.23,22.41492723,114.3,228.6,247.6,240.9,247.7,590.6
2015,"irrigation",24443660.79,24.44366079,76.2,247.6,247.7,246.4,266.7,533.4
2016,"irrigation",25477504.29,25.47750429,133.3,228.6,247.7,247.9,266.7,552.4
2017,"irrigation",21121697.025,21.121697025,114.3,209.5,228.6,215.3,228.6,495.3
2006,"recharge",7598677.6277847,7.5986776277847,0,0,8.968,31.18,38.11,303.5
2007,"recharge",25580248.0711227,25.5802480711227,0,86.49,111.2,105,133.4,389.3
2008,"recharge",24734314.8462573,24.7343148462573,0,50.82,104,101.5,134.8,430.4
2009,"recharge",43340273.7264117,43.3402737264117,0,129.1,181.7,177.8,238,503
2010,"recharge",27386623.4762295,27.3866234762295,0,77.88,116.4,112.4,141.5,372.6
2011,"recharge",27161051.7375603,27.1610517375603,0,56.67,92.76,111.4,168.5,482
2012,"recharge",10213918.0007814,10.2139180007814,0,26.65,38.13,41.91,50.41,286.2
2013,"recharge",7489122.9420573,7.4891229420573,0,0,16.05,30.73,50.16,228.6
2014,"recharge",18464234.712345,18.464234712345,0,15.32,69.18,75.76,115.9,398.6
2015,"recharge",35438780.5891119,35.4387805891119,0,77.89,148.4,145.4,202.6,516.2
2016,"recharge",33332907.5080065,33.3329075080065,0,89.89,120.7,136.8,176.1,427.4
2017,"recharge",68278044.0061818,68.2780440061818,34.05,215.2,278.1,280.1,339.2,721.2
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",130962201.657749,130.962201657749,333.5,460.9,519.5,537.3,624.1,816.5
2007,"etac",140440146.001815,140.440146001815,369.8,482.2,565.9,576.2,731.1,839.6
2008,"etac",147156564.805019,147.156564805019,383.2,475.8,588.4,603.8,744.7,907.5
2009,"etac",145092099.174894,145.092099174894,407.3,429,597.8,595.3,720.9,821.4
2010,"etac",137568685.644349,137.568685644349,331.5,476.2,542.7,564.4,714.8,903.6
2011,"etac",147352290.881999,147.352290881999,376.3,412.5,653.6,604.6,743.4,995.9
2012,"etac",120645092.907281,120.645092907281,252.8,386.9,426.8,495,691.8,1011
2013,"etac",124563204.433193,124.563204433193,318.8,347.1,490,511.1,685.7,807.6
2014,"etac",136219921.398437,136.219921398436,331.9,431.5,564,558.9,684.5,999.1
2015,"etac",151271272.291676,151.271272291676,384.7,448.5,622.8,620.6,779.9,964.1
2016,"etac",145670064.932492,145.670064932492,325.4,522.3,580.5,597.7,712.3,1005
2017,"etac",165311565.901506,165.311565901506,402.5,605.3,671.1,678.2,758.8,942.6
2006,"esac",79573970.2119075,79.5739702119075,235.3,303,320,326.5,353.7,463.6
2007,"esac",88783160.9758434,88.7831609758434,220.5,336.7,382.5,364.3,395.4,420.6
2008,"esac",89663185.243548,89.663185243548,245.2,344.1,375.5,367.9,391.8,456.9
2009,"esac",95203923.8135958,95.2039238135958,287.1,379.1,387.9,390.6,414.1,545.6
2010,"esac",79637021.7921423,79.6370217921423,192.7,297.4,344.8,326.7,352.6,460.1
2011,"esac",87824545.3930626,87.8245453930626,241.6,348.3,356.1,360.3,396.5,538.1
2012,"esac",65847621.1124736,65.8476211124736,157.3,232.2,265.3,270.2,325.4,411.1
2013,"esac",78410931.0839334,78.4109310839334,183.9,294.9,334.6,321.7,349.5,436.5
2014,"esac",77989262.6678625,77.9892626678625,243.5,301,320.4,320,339.7,491.6
2015,"esac",92367378.6885963,92.3673786885963,220.2,365.1,390.9,379,406.1,574.5
2016,"esac",78342380.3285649,78.3423803285649,230.5,296.9,324,321.4,348.6,463.4
2017,"esac",83216645.2132236,83.2166452132236,261.8,298.5,356.6,341.4,368.9,560.3
2006,"epac",51388231.4555472,51.3882314555472,0,157.1,212.4,210.8,301.5,488.6
2007,"epac",51656985.01845,51.65698501845,0,157.7,242.4,211.9,334.3,433.8
2008,"epac",57493379.5610418,57.4933795610418,0,119.3,255.3,235.9,365.8,614.3
2009,"epac",49888175.3694297,49.8881753694297,0,0,245.4,204.7,335.7,464.7
2010,"epac",57931663.8425409,57.9316638425409,0,182.4,265.2,237.7,363.2,619.9
2011,"epac",59527745.4923055,59.5277454923055,0,0,355.3,244.2,395.6,663
2012,"epac",54797471.7836472,54.7974717836472,0,154.3,191.8,224.8,365.3,715.3
2013,"epac",46152273.3523983,46.1522733523983,0,0,210.3,189.4,329.9,513.2
2014,"epac",58230658.7347086,58.2306587347086,0,100.3,270.3,238.9,368,644.5
2015,"epac",58903893.602892,58.903893602892,0,43.39,258.4,241.7,393.2,533.5
2016,"epac",67327684.6018077,67.3276846018077,0,210.4,269.4,276.2,375.1,720.8
2017,"epac",82094920.6854222,82.0949206854222,0,245.3,360.9,336.8,401.6,591.5
2006,"rofc",130947.3851139,0.1309473851139,0,0,0,0.5373,0,97.52
2007,"rofc",22931.2358874,0.0229312358874,0,0,0,0.09408,0,38.06
2008,"rofc",856777.1757471,0.8567771757471,0,0,0,3.515,0.4519,168.9
2009,"rofc",765858.2500017,0.7658582500017,0,0,0,3.142,0,149
2010,"rofc",86189.5683594,0.0861895683594,0,0,0,0.3536,0,119.8
2011,"rofc",1184456.2880853,1.1844562880853,0,0,0,4.86,0,172.5
2012,"rofc",1669368.276432,1.669368276432,0,4.847,6.125,6.849,8.673,89.21
