"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",17871952.5,17.8719525,75,275,275,253.7,275,375
2007,"irrigation",17802135,17.802135,75,200,200,199.6,200,325
2008,"irrigation",20915100,20.9151,50,225,225,219,225,375
2009,"irrigation",17977950,17.97795,25,175,175,174,175,250
2010,"irrigation",26689410,26.68941,50,250,275,256.3,275,425
2011,"irrigation",17159332.5,17.1593325,75,150,175,162.7,175,475
2012,"irrigation",28522665,28.522665,125,300,300,308.1,325,625
2013,"irrigation",21516795,21.516795,100,250,250,241.3,250,400
2014,"irrigation",20010690,20.01069,100,200,225,215.1,225,500
2015,"irrigation",21045510,21.04551,50,225,225,212.1,225,400
2016,"irrigation",23110312.5,23.1103125,125,225,225,224.8,250,475
2017,"irrigation",19350247.5,19.3502475,100,200,200,197.2,200,425
2006,"recharge",2801248.1012565,2.8012481012565,0,0,5.508,11.49,14.28,247.7
2007,"recharge",11507573.1554136,11.5075731554136,0,4.661,37.19,47.21,98.56,319.6
2008,"recharge",12266598.9680865,12.2665989680865,0,6.028,46.13,50.33,82.26,367.6
2009,"recharge",20942402.047263,20.942402047263,0,6.61,119.7,85.92,139.6,403.3
2010,"recharge",15055431.8719176,15.0554318719176,0,4.784,80.56,61.77,112,309.4
2011,"recharge",9028845.8046081,9.0288458046081,0,6.128,13.09,37.04,61.5,401.9
2012,"recharge",4702268.4494985,4.7022684494985,0,3.409,20.02,19.29,32.46,133.1
2013,"recharge",1728607.4644905,1.7286074644905,0,0,4.164,7.092,4.282,181.7
2014,"recharge",10762222.6678563,10.7622226678563,0,5.041,31.35,44.16,77.2,346.5
2015,"recharge",20529831.5618904,20.5298315618904,0,6.212,80.69,84.23,141.4,455.5
2016,"recharge",23722052.5988577,23.7220525988577,0,5.966,100.2,97.33,157,367.2
2017,"recharge",52628762.437974,52.628762437974,7.655,8.106,274.1,215.9,328.1,699.2
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
