"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211354.2144969,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13471998.1002235,5470,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8641223,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75734201,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19281132.0169925,4324,5470,6134,6087,6723,11000
2012,"N","MZ",14035091.9775806,2331,3695,3840,3784,3967,4177
2013,"N","MZ",15101613.6934511,2680,4015,4522,4409,4854,6320
2014,"N","MZ",13994281.503636,3461,5053,5374,5252,5562,7354
2015,"N","MZ",29855071.824556,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19681977.9564472,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6825693,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3599369.6578002,2760,2997,3086,3067,3127,3354
2008,"N","WH",2267451.33422571,540.8,638.6,685.3,768.1,757.1,2096
2009,"N","WH",4230497.60323812,3364,4140,4251,4233,4359,4753
2010,"N","WH",8355677.48454978,4343,4789,4878,4853,4972,5177
2011,"N","WH",1025237.57991471,776.2,1436,1579,1857,2492,3217
2012,"N","WH",11740785.5832833,3041,4230,4338,4294,4411,4497
2013,"N","WH",2493069.86031984,986.4,1751,1821,1883,2017,2734
2014,"N","WH",5514958.43804538,302,1272,1517,1510,1837,2609
2015,"N","WH",2317305.60868581,202.3,497.8,1486,1379,1930,2761
2016,"N","WH",11332445.5017138,3101,4509,4636,4623,4794,5083
2017,"N","WH",5571587.64866157,1010,2350,2515,2510,2781,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344742.9330137,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.14941031,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46898178,3481,4137,4452,4369,4528,5188
2011,"N","SG",1404816.71607531,3442,4101,4704,4561,4747,5769
2012,"N","SG",596274.38648316,2844,3403,3493,3456,3525,3642
2013,"N","SG",1830514.68288198,1866,2724,2860,2893,3139,4028
2014,"N","SG",2883057.38719299,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643822.15435151,4042,4977,5141,5137,5290,6063
2016,"N","SG",4106834.42536431,3966,4678,4789,4791,4936,5941
2017,"N","SG",5679224.81261919,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",141393.02550093,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.13971615,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.16911903,1742,2110,2132,2169,2234,2990
2011,"N","SB",401554.90711269,2149,2480,2579,2567,2594,3163
2012,"N","SB",357565.45264578,1336,1627,1633,1646,1682,2146
2013,"N","SB",179052.010857,1268,1540,1579,1581,1620,2157
2014,"N","SB",83427.39305217,2350,2714,2783,2784,2840,3393
2015,"N","SB",135522.1208403,2433,2804,2886,2874,2915,3146
2016,"N","SB",53449.66634175,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10229481,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94960.22300775,1431,1742,1775,1779,1872,2047
2009,"N","AL",62469.41057766,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72355883,1642,1888,1888,1935,1908,2469
2011,"N","AL",37503.36662607,1265,1576,1722,1715,1896,2014
2012,"N","AL",17602.37620281,938.1,1173,1192,1200,1252,1337
2013,"N","AL",78236.81680851,489.3,817.1,940.2,869.3,940.2,1385
2014,"N","AL",144785.43694773,2196,2429,2474,2464,2525,2575
2015,"N","AL",69847.94395656,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54198167,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.58858508,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",47276949.833416,1826,8580,8729,8659,8874,9936
2007,"Y","MZ",70618807.651559,4519,8927,9102,9175,9498,10200
2008,"Y","MZ",88014047.4925317,10120,11350,11540,11510,11710,12380
2009,"Y","MZ",95276315.9893717,10150,11390,11580,11530,11740,12530
2010,"Y","MZ",66388558.5349596,2875,8406,8710,8750,9120,10840
2011,"Y","MZ",82182328.2933443,5776,9477,9839,9883,10360,11440
2012,"Y","MZ",56985966.2375736,3034,7305,7982,7743,8122,8572
2013,"Y","MZ",56400535.2844967,2792,9217,9521,9431,9714,11010
2014,"Y","MZ",62359405.3849135,3467,9614,9746,9742,9983,11810
2015,"Y","MZ",76086614.1016858,6242,11700,11950,11820,12210,13350
2016,"Y","MZ",77802787.9703636,4213,10040,10680,10610,11120,12390
2017,"Y","MZ",96273115.846507,4069,12830,12970,12920,13190,13650
2006,"Y","WH",1170052.5873042,1596,4421,4464,4443,4590,4786
2007,"Y","WH",456219.18876519,2935,3127,3134,3143,3160,3335
2008,"Y","WH",286467.03825795,2955,3297,3593,3545,3669,3887
2009,"Y","WH",1009428.03929124,4210,4518,4546,4510,4561,4785
2010,"Y","WH",925860.096855,4430,4625,4625,4734,4935,5139
2011,"Y","WH",203341.25963781,2673,3937,3937,4006,4233,4412
2012,"Y","WH",1528396.94314116,3882,4251,4307,4309,4333,4605
2013,"Y","WH",1041062.66194761,1458,3837,3862,3823,3921,4240
2014,"Y","WH",1963836.2143431,382.8,3218,3507,3461,3672,4632
2015,"Y","WH",1768942.65025926,330.5,1598,1616,2180,2986,3319
