"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0486894,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13274233.8241511,5527,6156,6390,6287,6439,7414
2009,"N","MZ",17779972.8685253,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.76032488,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19029026.742242,4324,5471,6128,6071,6723,7693
2012,"N","MZ",14060706.7428849,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15156089.7445722,2680,4079,4522,4428,4854,6393
2014,"N","MZ",14003078.4311245,3461,5053,5374,5256,5563,7354
2015,"N","MZ",29855220.05408,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682118.1546295,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6759598,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587881.41484686,2760,2997,3086,3068,3127,3354
2008,"N","WH",2243263.94453916,540.8,638.6,682.8,765.6,761.8,2096
2009,"N","WH",4254022.94438214,3364,4152,4294,4257,4381,4753
2010,"N","WH",8345620.85197959,4343,4789,4878,4854,4974,5177
2011,"N","WH",1045829.04213231,776.2,1457,1636,1903,2559,3217
2012,"N","WH",11756842.6124456,3068,4230,4338,4300,4411,4497
2013,"N","WH",2509618.51266813,986.4,1767,1837,1896,2029,2745
2014,"N","WH",5570593.84122129,209.2,1322,1520,1525,1837,2609
2015,"N","WH",2390789.29118436,202.3,610.1,1493,1422,1937,2761
2016,"N","WH",11349310.2642943,3101,4514,4636,4628,4794,5083
2017,"N","WH",5669217.28791423,1010,2391,2582,2554,2834,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344296.84553519,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899195,3481,4137,4452,4369,4528,5188
2011,"N","SG",721303.11510984,3442,4101,4189,4360,4702,5769
2012,"N","SG",596277.89705862,2844,3403,3493,3456,3525,3642
2013,"N","SG",1831482.78776622,1866,2725,2860,2896,3147,4131
2014,"N","SG",2883088.24452522,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643825.04654948,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102381.20985299,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.8127262,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139739.00921586,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.13976376,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.16985433,1742,2110,2132,2169,2234,2990
2011,"N","SB",380419.51475709,2149,2514,2579,2557,2586,3163
2012,"N","SB",357796.67200434,1336,1627,1633,1647,1682,2146
2013,"N","SB",179914.26545811,1268,1545,1579,1589,1633,2157
2014,"N","SB",83446.91536095,2350,2714,2783,2784,2840,3393
2015,"N","SB",135524.35314441,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66637991,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10438263,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94786.89399216,1431,1742,1775,1779,1870,2047
2009,"N","AL",62469.41057343,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72358502,1642,1888,1888,1935,1908,2469
2011,"N","AL",37581.06244239,1265,1576,1722,1718,1896,2015
2012,"N","AL",17601.15792672,938.1,1173,1192,1200,1252,1337
2013,"N","AL",83132.14298454,489.3,817.1,987.4,923.7,987.4,1485
2014,"N","AL",144790.89647301,2196,2429,2475,2464,2525,2575
2015,"N","AL",69850.65504789,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54251807,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.59756555,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",55702874.9477009,1826,9982,10250,10200,10550,11700
2007,"Y","MZ",79495406.5678491,4519,10150,10370,10330,10460,11020
2008,"Y","MZ",95605091.1014579,5648,12340,12490,12450,12640,13110
2009,"Y","MZ",102616483.21178,11210,12310,12400,12420,12460,13560
2010,"Y","MZ",80221723.6019536,2875,10380,10490,10570,10720,12040
2011,"Y","MZ",91708745.9405474,4697,10790,10960,10990,11400,11890
2012,"Y","MZ",71655786.5149379,3034,9736,9826,9737,9927,10680
2013,"Y","MZ",65664246.5212852,2792,10920,11060,10980,11170,11880
2014,"Y","MZ",73226595.5140989,3467,11340,11490,11440,11630,12580
2015,"Y","MZ",81895737.7363387,6242,12610,12780,12730,12900,13390
