"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",15766096.23,15.76609623,57.15,228.6,247.6,223.8,247.6,304.8
2007,"irrigation",16363462.32,16.36346232,76.2,171.5,190.5,183.4,190.5,285.8
2008,"irrigation",16793887.545,16.793887545,38.1,171.4,171.4,175.8,190.5,342.9
2009,"irrigation",15491707.65,15.49170765,19.05,152.4,152.4,150,152.4,190.5
2010,"irrigation",22588177.455,22.588177455,38.1,209.5,228.6,216.9,228.6,362
2011,"irrigation",13892404.905,13.892404905,57.15,133.3,133.4,131.7,133.4,362
2012,"irrigation",25027070.85,25.02707085,95.25,266.7,266.7,270.3,285.8,533.4
2013,"irrigation",19209652.335,19.209652335,76.2,209.5,228.6,215.4,228.6,342.9
2014,"irrigation",17115750.63,17.11575063,76.2,171.5,190.5,184,190.5,419.1
2015,"irrigation",17897905.53,17.89790553,38.1,171.5,190.5,180.4,190.5,342.9
2016,"irrigation",20048179.995,20.048179995,95.25,190.5,209.5,195,209.6,381
2017,"irrigation",16798105.215,16.798105215,76.2,171.4,171.5,171.2,190.5,362
2006,"recharge",6626234.9552202,6.6262349552202,0,0,0.6484,27.19,29.65,254.7
2007,"recharge",22131654.1935624,22.1316541935624,0,72.21,91.74,90.8,111.6,306.5
2008,"recharge",18175037.5844631,18.1750375844631,0,27.73,54.17,74.57,99.49,401.2
2009,"recharge",37805345.8468236,37.8053458468236,0,118.2,124.1,155.1,237.6,402.8
2010,"recharge",25925676.7598406,25.9256767598406,0,77.39,107.5,106.4,120.2,372.6
2011,"recharge",20171858.1479775,20.1718581479775,0,6.613,34.24,82.76,167.8,398
2012,"recharge",8908000.624944,8.908000624944,0,23.24,29.26,36.55,38.93,153
2013,"recharge",5086822.1468265,5.0868221468265,0,0,0,20.87,35.03,209.3
2014,"recharge",14105112.6418434,14.1051126418434,0,12.11,44.24,57.87,77.56,316.3
2015,"recharge",29492217.8126901,29.4922178126901,0,65.14,102.8,121,178.1,408
2016,"recharge",29939365.9436202,29.9393659436202,0,88.68,113.4,122.8,144.8,427.4
2017,"recharge",64646385.7963023,64.6463857963023,34.05,215.2,268.7,265.2,309.7,621.2
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",129517508.135989,129.517508135989,333.5,460.9,519.5,531.4,604.2,798.3
2007,"etac",137690304.664054,137.690304664054,369.8,482.2,565.9,564.9,694.5,804.3
2008,"etac",144060450.756747,144.060450756747,383.2,473.6,588.4,591.1,710.4,894.2
2009,"etac",142590786.490087,142.590786490087,407.3,429,597.2,585,697.5,806.2
2010,"etac",135360036.921548,135.360036921548,331.5,476.2,542.7,555.4,695,874.5
2011,"etac",144829137.237952,144.829137237952,376.3,412.4,652.3,594.2,719.1,959.8
