"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0453524,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13473113.1986004,5527,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8714757,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75651158,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19043883.7277458,4324,5470,6128,6065,6723,7693
2012,"N","MZ",14061065.3453995,2353,3696,3840,3791,3967,4177
2013,"N","MZ",15144557.2317571,2680,4094,4522,4424,4854,6335
2014,"N","MZ",14001182.1100085,3461,5053,5374,5255,5563,7354
2015,"N","MZ",29855066.4774715,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682031.4579257,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.737756,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587760.18508077,2760,2997,3086,3067,3127,3354
2008,"N","WH",2268149.65454934,540.8,638.6,676.3,768.3,761.8,2096
2009,"N","WH",4245361.80223905,3364,4152,4262,4248,4359,4753
2010,"N","WH",8344168.32662991,4343,4789,4878,4853,4972,5177
2011,"N","WH",1024469.33698584,776.2,1377,1630,1864,2492,3217
2012,"N","WH",11758937.0556004,3068,4230,4338,4301,4411,4497
2013,"N","WH",2508593.54545674,986.4,1768,1834,1895,2024,2745
2014,"N","WH",5528601.15548904,211.5,1315,1510,1514,1837,2609
2015,"N","WH",2337311.0454183,202.3,506,1473,1390,1934,2761
2016,"N","WH",11346284.8447136,3101,4512,4636,4627,4794,5083
2017,"N","WH",5615122.51320264,1010,2364,2557,2529,2763,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344743.57252598,3773,4558,4678,4596,4692,6028
