"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",5146582.5,5.1465825,25,75,75,73.13,75,125
2007,"irrigation",6487470,6.48747,25,75,75,73.5,75,150
2008,"irrigation",4700947.5,4.7009475,25,50,50,49.76,50,150
2009,"irrigation",5095012.5,5.0950125,25,50,50,49.81,50,75
2010,"irrigation",8199382.5,8.1993825,25,75,75,79.84,100,200
2011,"irrigation",2140875,2.140875,25,25,25,25.53,25,150
2012,"irrigation",11324047.5,11.3240475,25,125,125,122.3,125,300
2013,"irrigation",7125525,7.125525,25,75,75,79.94,100,175
2014,"irrigation",5492115,5.492115,25,50,50,59.04,50,250
2015,"irrigation",6765345,6.765345,25,50,75,69.22,75,150
2016,"irrigation",4663552.5,4.6635525,25,25,50,49.26,75,150
2017,"irrigation",5927062.5,5.9270625,25,50,75,60.42,75,175
2006,"recharge",5508902.0231631,5.5089020231631,0,0,0,22.6,16.42,254.7
2007,"recharge",18780893.5693815,18.7808935693815,0,40.39,72.41,77.06,103.4,306.5
2008,"recharge",14257048.8263337,14.2570488263337,0,0,27.63,58.49,89.68,401.2
2009,"recharge",34940000.3511312,34.9400003511312,0,90.25,114.2,143.4,237,402.8
2010,"recharge",22198371.6114981,22.1983716114981,0,62.57,75.31,91.08,109.8,372.6
2011,"recharge",18128491.8426261,18.1284918426261,0,0,10.07,74.38,164.4,398
2012,"recharge",6751246.9322871,6.7512469322871,0,0,20.01,27.7,36.46,153
2013,"recharge",4823838.1944927,4.8238381944927,0,0,0,19.79,23.79,209.3
2014,"recharge",10086981.8455278,10.0869818455278,0,0,18.23,41.39,49.35,316.3
2015,"recharge",22316816.2521402,22.3168162521402,0,16.62,62.05,91.56,153.8,406
2016,"recharge",23634184.1688216,23.6341841688216,0,66.05,89.24,96.97,105.1,427.4
2017,"recharge",55614047.3688366,55.6140473688366,34.05,199.1,225.2,228.2,258.1,497.6
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",122653307.065252,122.653307065252,333.5,460.9,517,503.2,569.6,720.5
2007,"etac",130847212.827656,130.847212827656,369.8,482.2,563.4,536.8,619.2,714.3
2008,"etac",136065447.897081,136.065447897081,383.2,466.2,586.5,558.3,628.6,771.5
2009,"etac",136193234.726308,136.193234726308,407.3,429,595.7,558.8,635.3,768.7
2010,"etac",124915543.678988,124.915543678988,331.5,474.6,535.9,512.5,590.8,816.2
2011,"etac",134420942.539641,134.420942539641,376.3,412.4,590.8,551.5,633.7,836.9
2012,"etac",106331272.046945,106.331272046945,252.8,386.5,424.4,436.3,540.4,715.4
2013,"etac",109426428.100982,109.426428100982,318.8,347.1,472.4,449,514.7,653.7
2014,"etac",128204629.471015,128.204629471015,331.9,423.6,552.9,526,602.8,830.6
2015,"etac",144029140.189723,144.029140189723,384.7,444.6,618.6,590.9,701.2,839.5
2016,"etac",134688285.751428,134.688285751428,325.4,517.8,554.2,552.6,601.2,866.3
2017,"etac",159976833.277571,159.976833277571,402.5,602.4,661.6,656.4,707.1,875.7
2006,"esac",76378788.3171501,76.3787883171501,235.3,299.7,308.5,313.4,322.1,463.6
2007,"esac",84615442.1339058,84.6154421339058,220.5,335.8,348.5,347.2,366.2,420.6
2008,"esac",86099460.0890337,86.0994600890337,243.7,339.9,346.7,353.3,364,456.9
2009,"esac",92381767.2107496,92.3817672107496,287.1,357.2,375.3,379,413.7,545.6
2010,"esac",75493449.6492771,75.4934496492771,192.7,293.2,312.8,309.7,330.2,460.1
2011,"esac",84453170.1318972,84.4531701318972,240.8,320,331.1,346.5,396.5,538.1
2012,"esac",60259394.1100428,60.2593941100428,157.3,230.5,254.6,247.2,270.4,341.4
2013,"esac",75053637.0523521,75.0536370523521,184.2,291.5,311.3,307.9,331.5,436.5
2014,"esac",74760964.4096541,74.7609644096541,243.5,284.1,299.7,306.7,327.8,491.6
2015,"esac",88603697.2854177,88.6036972854177,220.2,350.3,367.3,363.5,397.8,574.5
2016,"esac",74178132.335811,74.178132335811,229.4,291,301.8,304.3,315.4,463.4
2017,"esac",80370409.7763999,80.3704097763999,261.8,298.5,332.2,329.7,354.1,560.3
2006,"epac",46274518.7471538,46.2745187471538,0,157.1,211,189.9,275.8,446.9
2007,"epac",46231770.686337,46.231770686337,0,157.7,241.1,189.7,277.7,390.8
2008,"epac",49965987.8178054,49.9659878178054,0,111.1,253.6,205,287.4,526.7
2009,"epac",43811467.5165408,43.8114675165408,0,0,222.8,179.8,280.3,434.1
2010,"epac",49422094.0317711,49.4220940317711,0,182.4,259,202.8,281.1,593.8
2011,"epac",49967772.4052028,49.9677724052028,0,0,261.9,205,312.1,542
2012,"epac",46071877.9327569,46.0718779327569,0,153,190.3,189,274.3,515.3
2013,"epac",34372791.049176,34.372791049176,0,0,174.6,141,207.2,379.5
2014,"epac",53443665.0592659,53.4436650592659,0,94.68,268.4,219.3,316,504
2015,"epac",55425442.9091517,55.4254429091517,0,27.74,256.5,227.4,360.1,503.9
2016,"epac",60510153.4138368,60.5101534138368,0,209.6,253.9,248.3,303.9,628.7
2017,"epac",79606423.4983515,79.6064234983515,0,239.5,348.3,326.6,376.3,580.6
2006,"rofc",126307.1376891,0.1263071376891,0,0,0,0.5182,0,97.52
2007,"rofc",22919.1441102,0.0229191441102,0,0,0,0.09403,0,38.06
2008,"rofc",452370.0819681,0.4523700819681,0,0,0,1.856,0.4519,151.9
2009,"rofc",536618.799162,0.536618799162,0,0,0,2.202,0,148
2010,"rofc",70773.3449901,0.0707733449901,0,0,0,0.2904,0,107.3
