"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",6272707.5,6.2727075,25,75,100,89.14,100,125
2007,"irrigation",6798937.5,6.7989375,25,75,75,76.42,75,175
2008,"irrigation",6424942.5,6.4249425,25,50,75,67.86,75,175
2009,"irrigation",5205487.5,5.2054875,25,50,50,50.89,50,100
2010,"irrigation",9655987.5,9.6559875,25,75,100,92.86,100,225
2011,"irrigation",2329987.5,2.3299875,25,25,25,25.66,25,150
2012,"irrigation",11820195,11.820195,25,125,125,127.7,125,300
2013,"irrigation",8222782.5,8.2227825,25,75,100,92.24,100,225
2014,"irrigation",7152480,7.15248,25,75,75,76.88,75,250
2015,"irrigation",8130217.5,8.1302175,25,75,75,82.01,100,175
2016,"irrigation",6738817.5,6.7388175,25,50,75,66.27,75,175
2017,"irrigation",7036042.5,7.0360425,25,75,75,71.72,75,175
2006,"recharge",5510801.3240277,5.5108013240277,0,0,0,22.61,16.49,254.7
2007,"recharge",18876786.7255758,18.8767867255758,0,39.34,76.94,77.45,103.4,306.5
2008,"recharge",14326568.7323652,14.3265687323652,0,0,28.79,58.78,92.39,401.2
2009,"recharge",35269346.3545602,35.2693463545602,0,93.44,114.7,144.7,237,402.8
2010,"recharge",22048621.330518,22.048621330518,0,61.82,73.11,90.46,110.3,372.6
2011,"recharge",18159380.085447,18.159380085447,0,0,10.07,74.51,164.4,398
2012,"recharge",6798598.2894753,6.7985982894753,0,0,20.02,27.89,36.27,153
2013,"recharge",4832361.5478831,4.8323615478831,0,0,0,19.83,25.28,209.3
2014,"recharge",10158300.4956345,10.1583004956345,0,0,18.26,41.68,49.7,316.3
2015,"recharge",23315313.8360772,23.3153138360772,0,22.28,68.86,95.66,152.9,406
2016,"recharge",24180905.1475692,24.1809051475692,0,67.48,90.96,99.21,106,427.4
2017,"recharge",56700445.8835908,56.7004458835908,34.05,201.8,234.3,232.6,259.5,497.6
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",123686387.636547,123.686387636547,333.5,460.9,517,507.5,576.3,722
2007,"etac",131146120.930018,131.146120930018,369.8,482.2,563.4,538.1,621.3,723.2
2008,"etac",137412646.961328,137.412646961328,383.2,466.2,586.5,563.8,645.5,793.3
2009,"etac",136496670.00374,136.49667000374,407.3,429,595.8,560,637.7,771.6
