"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500757,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13274127.9507564,5527,6156,6390,6287,6439,7414
2009,"N","MZ",17779972.8706065,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.76087712,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19051354.7496527,4324,5471,6147,6078,6723,7693
2012,"N","MZ",14061193.6671742,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15219391.1875719,2680,4112,4555,4446,4894,6478
2014,"N","MZ",14004287.2573761,3461,5053,5374,5256,5563,7354
2015,"N","MZ",29855283.5957845,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682216.7117577,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6751868,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587837.46686388,2760,2997,3086,3067,3127,3354
2008,"N","WH",2271898.25529543,540.8,638.6,682.8,775.3,761.8,2096
2009,"N","WH",4278899.61175896,3364,4153,4314,4282,4439,4753
2010,"N","WH",8345816.03677086,4343,4789,4878,4854,4974,5177
2011,"N","WH",1040454.38658798,776.2,1457,1678,1893,2504,3233
2012,"N","WH",11763769.9546973,3068,4230,4338,4302,4411,4497
2013,"N","WH",2511562.00715901,986.4,1769,1842,1898,2041,2745
2014,"N","WH",5626024.38706446,209.4,1333,1550,1541,1837,2609
2015,"N","WH",2455839.44357967,202.3,889,1528,1461,1968,2761
2016,"N","WH",11358672.5963444,3101,4514,4636,4632,4794,5083
2017,"N","WH",5685169.5226314,1010,2391,2582,2561,2856,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344297.24324123,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899339,3481,4137,4452,4369,4528,5188
2011,"N","SG",721518.9149295,3442,4101,4189,4362,4702,5769
2012,"N","SG",596277.91010907,2844,3403,3493,3456,3525,3642
2013,"N","SG",1832818.88462553,1866,2725,2860,2898,3161,4161
2014,"N","SG",2883032.0587476,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643827.63614144,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102383.02509548,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81273484,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139739.91810264,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.13976628,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.1698825,1742,2110,2132,2169,2234,2990
2011,"N","SB",380786.57482023,2149,2523,2579,2560,2586,3163
2012,"N","SB",357812.91339777,1336,1627,1633,1647,1682,2146
2013,"N","SB",181234.47304548,1268,1545,1579,1601,1672,2157
2014,"N","SB",83456.98673751,2350,2714,2783,2785,2840,3393
2015,"N","SB",135524.66277996,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66639683,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10442142,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94789.73659401,1431,1742,1775,1779,1871,2047
2009,"N","AL",62469.41057208,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72358925,1642,1888,1888,1935,1908,2469
2011,"N","AL",37641.18757284,1265,1576,1730,1721,1896,2015
2012,"N","AL",17601.15818862,938.1,1173,1192,1200,1252,1337
2013,"N","AL",84981.92541813,489.3,817.1,996.2,944.2,1026,1510
2014,"N","AL",144794.46915522,2196,2429,2475,2464,2525,2575
2015,"N","AL",69850.84769829,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54271175,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.60114584,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",57611328.662109,1826,10410,10650,10550,10890,11860
2007,"Y","MZ",80981773.0145798,4519,10390,10540,10520,10640,11220
2008,"Y","MZ",95842519.7079437,5649,12380,12490,12480,12610,13200
2009,"Y","MZ",105179197.66907,11470,12620,12720,12730,12870,13590
2010,"Y","MZ",83625887.524538,2875,10850,10970,11020,11210,12440
2011,"Y","MZ",92989560.7188545,4697,10960,11120,11140,11540,11890
2012,"Y","MZ",71360161.0316178,3034,9729,9790,9697,9831,10440
2013,"Y","MZ",67151641.9316851,2792,11190,11300,11220,11460,11930
2014,"Y","MZ",74491353.209763,3467,11560,11690,11640,11860,12640
2015,"Y","MZ",82230894.1518873,6242,12660,12780,12780,13000,13380
2016,"Y","MZ",90056431.6378212,4213,12070,12220,12280,12480,13310
2017,"Y","MZ",100606345.360766,4069,13490,13540,13510,13610,13810
2006,"Y","WH",1239032.64968802,1596,4701,4742,4705,4825,4935
2007,"Y","WH",468159.25163202,2935,3133,3133,3143,3159,3337
2008,"Y","WH",360570.89496627,582.6,3969,4022,3511,4295,4445
2009,"Y","WH",1012634.11873485,4218,4547,4561,4524,4563,4788
2010,"Y","WH",881254.17116523,4452,4633,4633,4737,4991,5147
2011,"Y","WH",238788.16946622,1736,4452,4739,4535,4747,4954
2012,"Y","WH",1544249.51091162,3843,4331,4347,4369,4420,4702
2013,"Y","WH",1114857.61863894,1458,4112,4189,4109,4220,4609
2014,"Y","WH",2358830.95826247,498.2,4014,4072,4155,4395,5065
