"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0442353,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13472717.6654605,5527,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8636716,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75835712,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19291038.5480531,4324,5471,6134,6090,6727,11000
2012,"N","MZ",14040833.8788368,2336,3695,3840,3786,3967,4177
2013,"N","MZ",15117282.3042752,2680,4027,4522,4413,4854,6320
2014,"N","MZ",13996414.751242,3461,5053,5374,5253,5562,7354
2015,"N","MZ",29855175.1785379,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19681973.2602462,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6673973,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3585362.26931478,2760,2997,3086,3065,3127,3354
2008,"N","WH",2269317.75645798,540.8,638.6,685.3,768.7,761.8,2096
2009,"N","WH",4271479.57888317,3364,4171,4290,4274,4404,4753
2010,"N","WH",8355689.72817507,4343,4789,4878,4853,4972,5177
2011,"N","WH",1032995.13494049,776.2,1377,1678,1871,2504,3217
2012,"N","WH",11747510.0228685,3058,4230,4338,4297,4411,4497
2013,"N","WH",2505700.89493083,986.4,1756,1829,1893,2012,2734
2014,"N","WH",5575040.46939834,208.3,1323,1545,1527,1837,2609
2015,"N","WH",2329251.30405756,202.3,506,1492,1386,1929,2761
2016,"N","WH",11338703.0177334,3101,4511,4636,4624,4794,5083
2017,"N","WH",5598729.09365571,1010,2350,2515,2522,2818,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.1318474,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344743.07749349,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46898223,3481,4137,4452,4369,4528,5188
2011,"N","SG",1407928.14270036,3442,4101,4702,4571,4805,5769
2012,"N","SG",596277.19115226,2844,3403,3493,3456,3525,3642
2013,"N","SG",1830487.70809998,1866,2724,2860,2894,3138,4092
2014,"N","SG",2883002.42346561,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643818.82881407,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102905.52673883,3966,4678,4797,4791,4945,5941
2017,"N","SG",5679224.81271918,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.468026,1799,2148,2155,2162,2226,2261
2008,"N","SB",141395.84138817,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.13976142,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.1698159,1742,2110,2132,2169,2234,2990
2011,"N","SB",401567.93932464,2149,2537,2579,2567,2594,3163
2012,"N","SB",357635.46871845,1336,1627,1633,1646,1682,2146
2013,"N","SB",178898.59253889,1268,1534,1579,1580,1608,2157
2014,"N","SB",83434.80322962,2350,2714,2783,2784,2840,3393
2015,"N","SB",135524.31843366,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66635363,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.1035162,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94960.82230245,1431,1742,1775,1779,1872,2047
2009,"N","AL",62469.41057352,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72355775,1642,1888,1888,1935,1908,2469
2011,"N","AL",37571.23164618,1265,1576,1722,1718,1896,2015
2012,"N","AL",17601.15531609,938.1,1173,1192,1200,1252,1337
2013,"N","AL",79608.84415452,489.3,817.1,888.4,884.5,1019,1409
2014,"N","AL",144793.90314882,2196,2429,2475,2464,2525,2575
2015,"N","AL",69850.2660201,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54145256,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.60956111,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",50495755.7985423,1826,9021,9294,9249,9676,10460
2007,"Y","MZ",68808101.0576382,4519,8802,8904,8940,9126,10330
2008,"Y","MZ",90057245.3059792,10010,11650,11850,11770,12010,12440
2009,"Y","MZ",95166888.1475952,10410,11400,11540,11510,11650,12880
2010,"Y","MZ",70253326.3746765,2875,8768,9342,9260,9758,11240
2011,"Y","MZ",83269699.9221673,5776,9552,9916,10010,10600,11460
2012,"Y","MZ",58107017.8711194,3034,7943,8004,7896,8050,9322
2013,"Y","MZ",57917633.6225273,2792,9487,9686,9685,10020,11360
2014,"Y","MZ",65300258.5310973,3467,10090,10260,10200,10400,12270
2015,"Y","MZ",77066487.7204026,6242,11830,12060,11980,12310,13360
2016,"Y","MZ",80205528.5178881,4213,10350,11100,10940,11480,12710
2017,"Y","MZ",97023496.7141858,4069,12890,13100,13020,13270,13720
2006,"Y","WH",1197933.44072823,1596,4557,4599,4549,4623,4811
2007,"Y","WH",467947.11910302,2935,3125,3134,3142,3160,3329
2008,"Y","WH",298055.57882535,2889,3451,3721,3688,3801,4077
2009,"Y","WH",1011575.79946962,4217,4525,4560,4519,4562,4787
2010,"Y","WH",924611.45797413,4439,4625,4625,4734,4938,5139
2011,"Y","WH",214050.44041524,2673,4096,4298,4217,4298,4586
2012,"Y","WH",1525149.55237797,3909,4252,4270,4300,4319,4657
2013,"Y","WH",1051794.10030644,1458,3872,3937,3865,3977,4171
2014,"Y","WH",2115833.85068481,463.4,3542,3721,3729,4047,4636
2015,"Y","WH",1768675.74404616,330.6,1598,1616,2179,2978,3326
2016,"Y","WH",3832917.40910376,4211,4483,4666,4582,4671,5157
2017,"Y","WH",1511223.94673199,1010,4456,4597,4525,4681,5278
2006,"Y","SG",3824793.72031545,4342,5151,5198,5233,5385,5947
2007,"Y","SG",593878.56039981,3579,5081,5144,5123,5154,5909
2008,"Y","SG",857121.63249735,4163,5137,5161,5196,5222,6006
2009,"Y","SG",593700.97504104,5057,5708,5714,5716,5749,6296
2010,"Y","SG",699044.50217304,4246,4970,5176,5157,5332,5556
2011,"Y","SG",40785.08821848,3849,4384,4591,4487,4600,5254
2012,"Y","SG",735251.38414434,3397,4657,4921,4808,4944,4950
2013,"Y","SG",4063117.10706351,2962,4127,4263,4293,4457,4980
2014,"Y","SG",7092008.30260305,4128,5460,5571,5578,5689,6217
2015,"Y","SG",6936214.02687036,4527,5468,5559,5547,5624,6059
2016,"Y","SG",6071711.69470167,4093,5202,5313,5299,5462,5613
2017,"Y","SG",3279541.25698605,5180,5593,5621,5624,5714,5798
2006,"Y","SB",769303.88933355,2716,3085,3168,3178,3292,3585
2007,"Y","SB",1837886.5910979,2513,2867,2890,2913,2969,3386
2008,"Y","SB",4159773.76953267,2657,3169,3185,3227,3359,3392
2009,"Y","SB",5187290.05606113,2960,3324,3347,3410,3488,3892
2010,"Y","SB",6742930.09184172,2137,2933,2980,3025,3115,3535
2011,"Y","SB",4584841.97544918,2594,2919,3022,3012,3072,3294
2012,"Y","SB",3224013.38746938,1662,2617,2647,2663,2709,2837
2013,"Y","SB",3482788.45191768,1416,2375,2435,2466,2546,2953
2014,"Y","SB",2506557.30120252,2595,3292,3347,3357,3427,3762
2015,"Y","SB",3818475.81915363,2590,3312,3367,3379,3448,3598
2016,"Y","SB",2234688.15771711,2675,3087,3126,3178,3325,3384
2017,"Y","SB",3887973.10245186,2923,3525,3542,3557,3616,3810
2006,"Y","AL",982985.34159216,2499,2791,2864,2846,2905,3007
2007,"Y","AL",853798.40615898,1853,2816,2845,2905,3012,3129
2008,"Y","AL",837596.21723316,2869,2906,2973,2952,2994,2997
2009,"Y","AL",352394.98357689,2894,3043,3050,3073,3064,3204
2010,"Y","AL",712932.37895016,2173,2664,2724,2751,2870,2891
2011,"Y","AL",641765.06504955,2338,2611,2705,2692,2762,2882
2012,"Y","AL",354586.84836507,1252,2296,2306,2363,2470,2533
2013,"Y","AL",454463.8598169,593.6,1462,1742,1708,1906,2131
2014,"Y","AL",862073.25301683,2439,3120,3185,3158,3214,3262
2015,"Y","AL",451094.91164703,1741,2718,2748,2682,2777,2935
2016,"Y","AL",338042.34367506,1347,2537,2570,2583,2723,2756
2017,"Y","AL",472451.54553243,1902,2705,2831,2775,2844,2851
