"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.050075,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13271380.5532576,5527,6156,6390,6287,6439,7414
2009,"N","MZ",17773010.2486122,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.76082897,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19042016.7607317,4324,5471,6134,6075,6723,7693
2012,"N","MZ",14061112.4260753,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15192526.7500826,2680,4112,4532,4438,4877,6477
2014,"N","MZ",14004386.8895162,3461,5053,5374,5256,5563,7354
2015,"N","MZ",29855241.527749,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682114.3053988,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6757082,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587880.85672653,2760,2997,3086,3068,3127,3354
2008,"N","WH",2258530.69502331,540.8,639.8,685.3,770.8,761.8,2096
2009,"N","WH",3891257.57827017,3364,4162,4254,4278,4443,4753
2010,"N","WH",8345885.81936571,4343,4789,4878,4854,4974,5177
2011,"N","WH",1081490.10575355,776.2,1457,1683,1968,2673,3217
2012,"N","WH",11759065.0942544,3068,4230,4338,4301,4411,4497
2013,"N","WH",2510362.46956365,986.4,1768,1841,1897,2031,2745
2014,"N","WH",5608304.97235506,209.4,1322,1521,1536,1837,2609
2015,"N","WH",2433498.68070972,202.3,852.7,1507,1448,1968,2761
2016,"N","WH",11353938.9061157,3101,4514,4636,4630,4794,5083
2017,"N","WH",5671435.34894364,1010,2391,2582,2555,2818,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344296.95644597,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899555,3481,4137,4452,4369,4528,5188
2011,"N","SG",721406.35721439,3442,4101,4189,4361,4702,5769
2012,"N","SG",596277.89819271,2844,3403,3493,3456,3525,3642
2013,"N","SG",1832571.52955982,1866,2725,2860,2896,3156,4133
2014,"N","SG",2883132.47997081,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643822.09752578,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102381.60309431,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.8127298,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139740.04602477,2256,2571,2577,2627,2763,3108
2009,"N","SB",804044.28782997,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.17002974,1742,2110,2132,2169,2234,2990
2011,"N","SB",380562.88300533,2149,2511,2579,2558,2586,3163
2012,"N","SB",357805.75307274,1336,1627,1633,1647,1682,2146
2013,"N","SB",180628.81778664,1268,1545,1579,1595,1652,2157
2014,"N","SB",83449.9323846,2350,2714,2783,2784,2840,3393
2015,"N","SB",135524.24064207,2433,2804,2886,2874,2915,3146
2016,"N","SB",53449.66639098,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.1043694,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",91420.13431926,1431,1742,1775,1776,1869,2047
2009,"N","AL",62270.38263456,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.7235969,1642,1888,1888,1935,1908,2469
2011,"N","AL",37605.09794409,1265,1576,1722,1719,1896,2015
2012,"N","AL",17601.15798702,938.1,1173,1192,1200,1252,1337
2013,"N","AL",85281.88537323,489.3,817.1,1018,947.6,1020,1517
2014,"N","AL",144792.54961101,2196,2429,2475,2464,2525,2575
2015,"N","AL",69850.72234656,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.5426987,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.59600297,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",56800208.4545848,1826,10260,10530,10400,10720,11860
2007,"Y","MZ",80936755.1903743,4519,10300,10590,10520,10680,11200
2008,"Y","MZ",97170969.0678312,5649,12550,12600,12650,12850,13200
2009,"Y","MZ",105488675.711916,4860,12670,12730,12760,12920,13590
2010,"Y","MZ",83055516.1498931,2875,10710,10940,10950,11150,12420
2011,"Y","MZ",91804698.1940891,4697,10770,10990,11000,11320,11890
2012,"Y","MZ",73390059.9954114,3034,9931,10070,9973,10160,10880
2013,"Y","MZ",67021080.0297542,2792,11160,11290,11200,11410,12060
