"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2007,"rofc",22931.2359684,0.0229312359684,0,0,0,0.09408,0,38.06
2008,"rofc",862048.7486343,0.8620487486343,0,0,0,3.537,0.4519,220
2009,"rofc",743605.2174879,0.7436052174879,0,0,0,3.051,0,152.1
2010,"rofc",72505.4412753,0.0725054412753,0,0,0,0.2975,0,152.5
2011,"rofc",1190256.3898227,1.1902563898227,0,0,0,4.883,0,201.5
2012,"rofc",1677213.4927752,1.6772134927752,0,4.847,6.125,6.881,8.673,119.5
2013,"rofc",209074.7750571,0.2090747750571,0,0,0,0.8578,0.03846,115.5
2014,"rofc",122549.6788722,0.1225496788722,0,0,0,0.5028,0,115.3
2015,"rofc",1718407.9730448,1.7184079730448,0,0,3.978,7.05,12.41,169.3
2016,"rofc",3880817.5932603,3.8808175932603,0,0.2644,13.71,15.92,25.57,132.2
2017,"rofc",374702.917509,0.374702917509,0,0,0,1.537,0,320.9
