"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500733,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13472906.4389479,5527,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8697172,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75957284,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19044054.1024558,4324,5471,6134,6075,6723,7693
2012,"N","MZ",14060907.6193081,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15202605.2280203,2680,4112,4533,4441,4903,6313
2014,"N","MZ",14003651.8422996,3461,5053,5374,5256,5563,7354
2015,"N","MZ",29855228.2302943,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682159.2263345,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6759487,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587880.44518164,2760,2997,3086,3068,3127,3354
2008,"N","WH",2285635.61791359,540.8,639.8,685.3,774.3,761.8,2096
2009,"N","WH",4278737.81119527,3364,4152,4315,4281,4455,4753
2010,"N","WH",8344943.43596307,4343,4789,4878,4854,4972,5177
2011,"N","WH",1065523.30241778,776.2,1457,1678,1939,2555,3217
2012,"N","WH",11761739.126046,3068,4230,4338,4302,4411,4497
2013,"N","WH",2509002.75856572,986.4,1764,1837,1896,2035,2745
2014,"N","WH",5637609.27019422,254.5,1333,1562,1544,1837,2609
2015,"N","WH",2397456.34277112,202.3,511.6,1499,1426,1962,2761
2016,"N","WH",11356833.09234,3101,4512,4636,4632,4794,5083
2017,"N","WH",5652828.44213274,1010,2380,2572,2546,2813,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344743.58578091,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.4689942,3481,4137,4452,4369,4528,5188
2011,"N","SG",721404.52291287,3442,4101,4189,4361,4702,5769
2012,"N","SG",596277.89949159,2844,3403,3493,3456,3525,3642
2013,"N","SG",1832883.12027567,1866,2725,2860,2897,3157,4094
2014,"N","SG",2883048.55691121,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643831.85879285,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102383.08272617,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81272485,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
