"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",11646649.935,11.646649935,19.05,152.4,171.4,165.4,190.5,209.6
2007,"irrigation",13146288.795,13.146288795,38.1,152.4,152.4,147.4,152.4,228.6
2008,"irrigation",12398423.895,12.398423895,19.05,133.3,133.4,130.9,133.4,266.7
2009,"irrigation",11063582.775,11.063582775,57.15,95.25,114.3,108.2,114.3,133.3
2010,"irrigation",17297076.15,17.29707615,38.1,152.4,171.4,166.1,190.5,304.8
2011,"irrigation",9833480.46,9.83348046,19.05,95.25,95.25,93.23,95.25,228.6
2012,"irrigation",20479205.295,20.479205295,76.2,228.6,228.6,221.2,228.6,438.2
2013,"irrigation",14534913.78,14.53491378,19.05,152.4,171.4,163,171.5,266.7
2014,"irrigation",12977564.85,12.97756485,57.15,114.3,133.4,139.5,152.4,362
2015,"irrigation",14735475.99,14.73547599,19.05,152.4,152.4,148.5,171.5,247.7
2016,"irrigation",13336118.235,13.336118235,57.15,114.3,133.4,129.7,152.4,266.7
2017,"irrigation",12967637.895,12.967637895,57.15,133.3,133.4,132.2,133.4,285.8
2006,"recharge",5658450.1816914,5.6584501816914,0,0,0,23.22,22.16,254.7
2007,"recharge",20673197.2519506,20.6731972519506,0,55.93,85.37,84.82,109.7,306.5
2008,"recharge",15302458.1471814,15.3024581471814,0,8.912,36.12,62.78,93.03,401.2
2009,"recharge",36826441.4719692,36.8264414719692,0,111.8,120.4,151.1,237.4,402.8
2010,"recharge",23871072.1000086,23.8710721000086,0,69.66,90.52,97.94,110.8,372.6
2011,"recharge",18927458.0172504,18.9274580172504,0,0,23.32,77.66,165.2,398
2012,"recharge",7793607.0340737,7.7936070340737,0,6.412,26.61,31.98,38.26,153
2013,"recharge",4889112.0118722,4.8891120118722,0,0,0,20.06,26.72,209.3
2014,"recharge",11891803.9998609,11.8918039998609,0,8.59,30.57,48.79,60.14,316.3
2015,"recharge",26535196.4111739,26.5351964111739,0,47.2,84.71,108.9,162.8,406
2016,"recharge",26338287.911004,26.338287911004,0,84.3,97.61,108.1,114.2,427.4
2017,"recharge",61157900.8844541,61.1579008844541,34.05,211.6,252.6,250.9,285.8,538.8
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",127633459.844458,127.633459844458,333.5,460.9,518.9,523.7,589,784.9
2007,"etac",135786407.13117,135.78640713117,369.8,482.2,565.9,557.1,677.5,774.6
2008,"etac",142088227.41067,142.08822741067,383.2,466.2,588.4,583,692.6,852.4
2009,"etac",140448134.522468,140.448134522468,407.3,429,596.3,576.2,675.1,793.8
2010,"etac",132076897.680585,132.076897680585,331.5,474.9,539.9,541.9,659.8,856.8
2011,"etac",141219249.620013,141.219249620013,376.3,412.4,641.7,579.4,688,909.8
2012,"etac",113905986.824462,113.905986824462,252.8,386.9,426.8,467.3,623,877.1
2013,"etac",117523948.177732,117.523948177732,318.8,347.1,485.7,482.2,602.2,722.4
2014,"etac",132827224.86902,132.82722486902,331.9,424,559,545,650.9,901.9
2015,"etac",148111458.893274,148.111458893274,384.7,448.2,621.2,607.7,747.1,872.4
2016,"etac",140769301.998434,140.769301998434,325.4,522.3,571.4,577.6,662.6,956.1
2017,"etac",163398163.07627,163.39816307627,402.5,603.9,670.9,670.4,739.4,916.6
2006,"esac",77831275.7213829,77.8312757213829,235.3,302.8,317.6,319.3,338.8,463.6
2007,"esac",86012929.7874099,86.0129297874099,220.5,336.7,362.7,352.9,377.9,420.6
2008,"esac",87399333.7113897,87.3993337113897,245.2,344,357.5,358.6,372.1,456.9
2009,"esac",92768388.6840975,92.7683886840975,287.1,361.1,377.8,380.6,413.7,545.6
2010,"esac",77266726.7341374,77.2667267341374,192.7,296.6,327.1,317,341.2,460.1
2011,"esac",85799750.5481679,85.7997505481679,241.6,332.5,342.5,352,396.5,538.1
2012,"esac",62776398.6504432,62.7763986504432,157.3,231.3,262.7,257.6,295,341.4
2013,"esac",76400473.3040952,76.4004733040952,184.2,291.8,325.3,313.5,336.3,436.5
2014,"esac",76041607.5075249,76.0416075075249,243.5,293.5,308.6,312,329.3,491.6
2015,"esac",90225839.2599576,90.2258392599576,220.2,360.6,378.7,370.2,398.4,574.5
2016,"esac",75868727.9445018,75.8687279445018,230.5,295.3,308.7,311.3,326.4,463.4
2017,"esac",81771725.4319224,81.7717254319224,261.8,298.5,345.8,335.5,360.7,560.3
2006,"epac",49802184.1243107,49.8021841243107,0,157.1,212.4,204.3,301.5,489.3
2007,"epac",49773477.3388929,49.7734773388929,0,157.7,242.4,204.2,315.3,418
2008,"epac",54688893.7092669,54.6888937092669,0,111.1,255.2,224.4,337.9,587.4
2009,"epac",47679745.833765,47.679745833765,0,0,236.1,195.6,315.4,452.5
2010,"epac",54810170.9500419,54.8101709500419,0,182.4,265.2,224.9,333.2,615.3
2011,"epac",55419499.063179,55.419499063179,0,0,315.6,227.4,362.1,625.2
2012,"epac",51129588.1733577,51.1295881733577,0,153.9,191.8,209.8,327.5,630.7
2013,"epac",41123474.8732881,41.1234748732881,0,0,202.2,168.7,278.8,452.8
2014,"epac",56785617.3634488,56.7856173634488,0,94.7,269.1,233,355,559.6
