"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",20057040,20.05704,75,300,300,284.8,325,450
2007,"irrigation",23953612.5,23.9536125,125,275,275,268.5,275,425
2008,"irrigation",24808230,24.80823,50,250,275,259.7,275,450
2009,"irrigation",23210685,23.210685,25,225,225,224.6,225,325
2010,"irrigation",29964397.5,29.9643975,100,275,300,287.8,300,525
2011,"irrigation",22138515,22.138515,75,200,225,209.9,225,550
2012,"irrigation",33574522.5,33.5745225,150,350,375,362.7,375,725
2013,"irrigation",24571395,24.571395,100,275,275,275.6,300,475
2014,"irrigation",22987687.5,22.9876875,125,225,250,247.1,250,625
2015,"irrigation",23314770,23.31477,50,225,250,235,250,450
2016,"irrigation",26714002.5,26.7140025,150,250,275,259.9,275,550
2017,"irrigation",22444065,22.444065,125,225,225,228.8,250,500
2006,"recharge",8569855.5411042,8.5698555411042,0,0,20.45,35.16,49.63,306.6
2007,"recharge",26500551.1985754,26.5005511985754,0,87.92,112.8,108.7,140,387
2008,"recharge",25543378.8037917,25.5433788037917,0,50.08,101.6,104.8,147,471
2009,"recharge",43263515.9090547,43.2635159090547,0,129.1,176.8,177.5,238,450.2
2010,"recharge",27739635.0195438,27.7396350195438,0,77.88,121.7,113.8,140.5,377.2
2011,"recharge",29023130.37051,29.02313037051,0,56.67,109,119.1,169.1,473.9
2012,"recharge",10560723.405741,10.560723405741,0,26.67,38.15,43.33,55.35,233.6
2013,"recharge",9799379.1669114,9.7993791669114,0,0,39.35,40.21,63.98,250.8
2014,"recharge",18274394.8020087,18.2743948020087,0,15.45,69.58,74.98,112.8,386.5
2015,"recharge",35529765.3419823,35.5297653419823,0,78.46,146.3,145.8,207,518.4
2016,"recharge",35161210.391931,35.161210391931,0,89.89,126,144.3,197.9,442.8
2017,"recharge",69679093.2127047,69.6790932127047,34.05,215.2,279,285.9,354.1,716.1
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
