"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500825,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13271913.8042424,5527,6157,6390,6287,6439,7414
2009,"N","MZ",17741529.5463433,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.76097459,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19190794.2385351,4324,5520,6176,6122,6723,7693
2012,"N","MZ",14062087.2923317,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15632709.2388246,2680,4179,4644,4567,5075,6482
2014,"N","MZ",14009370.6803689,3461,5053,5374,5258,5563,7354
2015,"N","MZ",29855345.7739949,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682621.2694083,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6911748,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587834.51823825,2760,2997,3086,3067,3127,3354
2008,"N","WH",2390909.37306354,540.8,639.8,685.3,815.9,1073,2096
2009,"N","WH",3899591.63385561,3364,4172,4348,4307,4473,4753
2010,"N","WH",8346007.95244497,4343,4789,4878,4854,4974,5177
2011,"N","WH",1172984.91511347,776.2,1457,2383,2134,2686,3233
2012,"N","WH",11772854.7115538,3068,4230,4338,4306,4411,4497
2013,"N","WH",2536733.82260394,986.4,1769,1847,1917,2148,2745
2014,"N","WH",6005698.25185683,302,1391,1668,1645,1863,2654
2015,"N","WH",2563060.24437849,202.3,1081,1588,1525,1995,2761
2016,"N","WH",11382200.5417952,3101,4515,4640,4642,4794,5083
2017,"N","WH",5747907.48257304,1010,2391,2607,2589,2856,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344298.23426192,3773,4558,4678,4596,4692,6028
2009,"N","SG",2098795.00182804,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899555,3481,4137,4452,4369,4528,5188
2011,"N","SG",722180.0253483,3442,4101,4189,4366,4702,5769
2012,"N","SG",596277.9037791,2844,3403,3493,3456,3525,3642
2013,"N","SG",1842659.31129192,1866,2725,2860,2914,3165,4278
2014,"N","SG",2883012.95424177,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643796.49519266,4042,4977,5142,5137,5290,6063
2016,"N","SG",4102388.63140626,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81273763,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139749.98552856,2256,2571,2577,2627,2763,3108
2009,"N","SB",804044.28783105,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.17007537,1742,2110,2132,2169,2234,2990
2011,"N","SB",381912.98489793,2149,2551,2579,2567,2612,3163
2012,"N","SB",357837.18275763,1336,1627,1633,1647,1682,2204
2013,"N","SB",190740.20376591,1268,1545,1579,1685,1837,2275
2014,"N","SB",83465.62515954,2350,2714,2783,2785,2840,3393
2015,"N","SB",135525.72071934,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66639953,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10452069,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",91436.05299798,1431,1742,1775,1776,1869,2047
2009,"N","AL",62270.38263321,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72359762,1642,1888,1888,1935,1908,2469
2011,"N","AL",37675.97000217,1265,1576,1730,1723,1898,2015
2012,"N","AL",17601.15823047,938.1,1173,1192,1200,1252,1337
2013,"N","AL",100992.06564012,489.3,1013,1278,1122,1278,1520
2014,"N","AL",144807.45853536,2196,2429,2475,2464,2525,2575
2015,"N","AL",69852.78909333,1212,1755,1840,1822,1923,1989
2016,"N","AL",45058.54289553,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.62580449,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",61903497.1019434,1826,11370,11390,11340,11510,11870
2007,"Y","MZ",84682641.3023911,4519,10810,11100,11000,11130,11250
2008,"Y","MZ",99247171.6989659,5650,12860,12970,12920,13000,13200
2009,"Y","MZ",111772920.32761,4799,13490,13540,13510,13550,13660
2010,"Y","MZ",90648811.757236,2875,11900,11980,11950,12030,12780
2011,"Y","MZ",97539991.2047975,4697,11640,11690,11680,11770,11930
2012,"Y","MZ",79557278.286734,3034,10780,10910,10810,10990,11580
2013,"Y","MZ",71166077.9306329,2792,11860,11920,11900,12020,12720
2014,"Y","MZ",77618844.7937205,3467,12000,12170,12130,12250,12640
2015,"Y","MZ",83974836.3057131,6242,12950,13060,13050,13260,13390
2016,"Y","MZ",94647341.7527626,4213,12770,12870,12910,12990,13350
2017,"Y","MZ",101020767.263543,4069,13560,13600,13560,13630,13850
2006,"Y","WH",1243808.90666118,1596,4717,4758,4723,4860,4958
2007,"Y","WH",468147.21803046,2935,3133,3133,3143,3159,3337
2008,"Y","WH",373151.16328842,582.6,4036,4150,3631,4561,4625
2009,"Y","WH",1441300.41458001,3821,4547,4561,4535,4600,4788
2010,"Y","WH",881250.20502003,4452,4633,4633,4737,4991,5147
2011,"Y","WH",241060.94284536,1736,4474,4772,4579,4772,4966
2012,"Y","WH",1512413.69793543,3835,4304,4327,4343,4405,4682
2013,"Y","WH",1142437.10695362,1458,4241,4288,4210,4289,4728
2014,"Y","WH",2403894.75799815,989,4065,4120,4234,4405,5065
