"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0380058,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13470683.1540035,5468,6156,6390,6288,6439,7414
2009,"N","MZ",17779972.8580827,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75750563,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19081723.2133177,4324,5458,6128,6065,6723,7693
2012,"N","MZ",14041860.4486585,2350,3695,3840,3786,3967,4177
2013,"N","MZ",15094875.4150707,2680,4042,4522,4410,4854,6473
2014,"N","MZ",13993177.854508,3461,5053,5374,5252,5562,7354
2015,"N","MZ",29854861.3121995,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19681960.6032255,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.7057926,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3586241.20206645,2760,2997,3086,3066,3127,3354
2008,"N","WH",2266260.80592861,540.8,638.6,678.9,767.7,757.1,2096
2009,"N","WH",4234381.11878193,3364,4140,4251,4237,4359,4753
2010,"N","WH",8354642.74641999,4343,4789,4877,4853,4972,5177
2011,"N","WH",1072835.2139031,776.2,1421,1736,1943,2673,3217
2012,"N","WH",11742545.7892653,3068,4230,4338,4295,4411,4497
2013,"N","WH",2506060.37787921,986.4,1760,1829,1894,2020,2734
2014,"N","WH",5544413.47006722,209.3,1322,1534,1518,1837,2609
2015,"N","WH",2264517.67866264,202.3,492.6,1352,1347,1933,2761
2016,"N","WH",11343212.4848182,3101,4513,4636,4628,4794,5083
2017,"N","WH",5597147.95324101,1010,2350,2515,2521,2781,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344742.7412822,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46898187,3481,4137,4452,4369,4528,5188
2011,"N","SG",721603.5453477,3442,4101,4189,4360,4702,5769
2012,"N","SG",596273.59411245,2844,3403,3493,3456,3525,3642
2013,"N","SG",1829214.38952027,1866,2724,2860,2892,3133,4140
2014,"N","SG",2883093.01450497,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643820.63722061,4042,4977,5141,5137,5290,6063
2016,"N","SG",4105903.87568889,3966,4678,4789,4791,4933,5941
2017,"N","SG",5679224.81186994,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",140890.10427387,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.13975197,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.16826538,1742,2110,2132,2169,2234,2990
2011,"N","SB",382316.63890437,2149,2519,2579,2556,2586,3163
2012,"N","SB",357615.11096811,1336,1627,1633,1646,1682,2146
2013,"N","SB",178936.99060329,1268,1543,1579,1580,1609,2157
2014,"N","SB",83430.640305,2350,2714,2783,2784,2840,3393
2015,"N","SB",135522.42433884,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66635678,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10344906,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94959.02240676,1431,1742,1775,1779,1872,2047
2009,"N","AL",62469.41057622,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72355289,1642,1888,1888,1935,1908,2469
2011,"N","AL",37554.95033145,1265,1576,1722,1717,1896,2015
2012,"N","AL",17602.377165,938.1,1173,1192,1200,1252,1337
2013,"N","AL",80694.01723374,489.3,817.1,956.5,896.6,956.5,1509
2014,"N","AL",144788.05566081,2196,2429,2475,2464,2525,2575
2015,"N","AL",69821.69891094,1212,1753,1840,1821,1923,1988
2016,"N","AL",45058.54229163,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.58439648,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",48725681.0224121,1826,8768,8929,8925,9299,10240
2007,"Y","MZ",72955399.0366956,4519,9349,9474,9478,9566,10540
2008,"Y","MZ",91850719.178648,10460,11880,12140,12010,12250,12780
2009,"Y","MZ",96208954.4025692,10560,11540,11660,11640,11780,12670
2010,"Y","MZ",69412663.9912495,2875,8822,9120,9149,9322,11250
2011,"Y","MZ",83121965.3107884,4697,9640,9970,9970,10390,11700
2012,"Y","MZ",59847149.2496292,3034,8002,8261,8132,8355,9182
2013,"Y","MZ",59229919.3555544,2792,9718,9922,9901,10200,11460
2014,"Y","MZ",65467941.6138217,3467,10010,10370,10230,10550,11750
2015,"Y","MZ",77734360.0101284,6242,11900,12110,12080,12410,13350
2016,"Y","MZ",80687576.6114836,4213,10710,11000,11000,11330,12820
2017,"Y","MZ",97798128.5991253,4069,13060,13120,13130,13380,13650
2006,"Y","WH",1198492.32032613,1596,4510,4579,4551,4674,4837
2007,"Y","WH",468080.88444909,2935,3133,3134,3143,3159,3337
2008,"Y","WH",294518.10317301,2882,3455,3733,3644,3820,3973
2009,"Y","WH",1010838.85824951,4218,4524,4561,4516,4562,4772
2010,"Y","WH",928666.19596779,4434,4633,4633,4744,4991,5147
2011,"Y","WH",212134.72027779,2673,4108,4231,4172,4298,4561
2012,"Y","WH",1539507.32482527,3911,4291,4319,4340,4394,4636
2013,"Y","WH",1058718.83703696,1458,3895,3995,3898,4021,4292
2014,"Y","WH",2064021.31255761,389.7,3482,3659,3637,3779,4628
2015,"Y","WH",1766085.89135985,267.4,1598,1616,2176,2984,3326
2016,"Y","WH",3832970.41842912,4231,4481,4667,4582,4669,5159
2017,"Y","WH",1518847.50604833,1010,4522,4617,4549,4671,5326
2006,"Y","SG",3842510.22885393,4342,5198,5225,5257,5371,5932
2007,"Y","SG",604647.86416569,3579,5182,5198,5216,5261,5902
2008,"Y","SG",870319.84116123,4163,5164,5316,5276,5326,6014
2009,"Y","SG",587005.91440101,4945,5645,5655,5652,5685,6292
2010,"Y","SG",704541.1711644,4246,5036,5188,5208,5357,5570
2011,"Y","SG",771828.42673458,3986,5040,5053,5093,5130,5671
2012,"Y","SG",722025.02864655,3397,4606,4821,4722,4858,4866
2013,"Y","SG",4088466.63963279,2962,4142,4353,4315,4491,4945
2014,"Y","SG",7013075.72901678,4128,5451,5488,5516,5626,6230
2015,"Y","SG",6980458.14711747,4527,5494,5569,5583,5678,6067
2016,"Y","SG",6117908.03306748,4093,5233,5341,5339,5455,5860
2017,"Y","SG",3291458.12473608,5108,5608,5617,5644,5740,5876
2006,"Y","SB",758329.03825335,2786,3046,3161,3132,3201,3629
2007,"Y","SB",1893052.91643633,2629,2953,2967,3000,3059,3432
2008,"Y","SB",4094636.22245529,2766,3105,3116,3176,3295,3472
2009,"Y","SB",5345955.32645916,3110,3459,3485,3514,3599,3853
2010,"Y","SB",6668913.41309574,2137,2923,2981,2991,3081,3559
2011,"Y","SB",4721984.18703225,2395,2974,3063,3089,3184,3325
2012,"Y","SB",3309401.73556953,1662,2693,2731,2733,2821,2844
2013,"Y","SB",3629058.89789043,1428,2512,2545,2570,2609,3040
2014,"Y","SB",2536695.07501815,2595,3330,3404,3397,3464,3718
2015,"Y","SB",3831537.30462432,2590,3339,3358,3390,3471,3569
2016,"Y","SB",2266127.09706402,2660,3160,3200,3223,3331,3391
2017,"Y","SB",3931062.08775192,2923,3573,3581,3596,3654,3830
2006,"Y","AL",982399.12618437,2534,2775,2866,2844,2906,2989
2007,"Y","AL",876437.68740147,1853,2928,2947,2982,3079,3116
2008,"Y","AL",816926.55717816,2773,2814,2929,2879,2929,2992
2009,"Y","AL",356926.9804668,2984,3086,3096,3113,3104,3234
2010,"Y","AL",710824.02497694,2173,2660,2720,2742,2859,2870
2011,"Y","AL",667100.93062122,2274,2730,2823,2798,2870,2905
2012,"Y","AL",350972.0117829,1252,2276,2299,2339,2444,2481
2013,"Y","AL",467309.49908589,593.6,1657,1704,1757,1846,2378
2014,"Y","AL",866053.75249791,2439,3132,3201,3173,3239,3292
2015,"Y","AL",442163.93633595,1737,2643,2706,2629,2706,2868
2016,"Y","AL",332422.67440098,1347,2461,2519,2540,2685,2719
2017,"Y","AL",476070.62234265,1902,2731,2829,2796,2878,2889
