"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",7521031.44,7.52103144,12.7,114.3,114.3,106.8,114.3,152.4
2007,"irrigation",8402341.59000001,8.40234159,25.4,88.9,101.6,94.19,101.6,177.8
2008,"irrigation",7968070.17,7.96807017,12.7,76.2,88.9,84.16,88.9,203.2
2009,"irrigation",6496880.58000001,6.49688058000001,25.4,63.5,63.5,63.52,63.5,101.6
2010,"irrigation",11370712.59,11.37071259,12.7,101.6,114.3,109.2,127,228.6
2011,"irrigation",5583806.46,5.58380646,12.7,50.8,50.8,54.08,63.5,177.8
2012,"irrigation",14992845.3,14.9928453,50.8,165.1,165.1,161.9,165.1,368.3
2013,"irrigation",10150720.11,10.15072011,12.7,101.6,114.3,113.8,127,228.6
2014,"irrigation",7570843.38,7.57084338,25.4,63.5,76.2,81.38,76.2,317.5
2015,"irrigation",9855117.45,9.85511745,12.7,88.9,101.6,99.33,114.3,190.5
2016,"irrigation",7700516.73,7.70051673,25.4,63.5,76.2,74.92,88.9,177.8
2017,"irrigation",7885339.83,7.88533983,25.4,76.2,88.9,80.38,88.9,203.2
2006,"recharge",5520412.9651905,5.5204129651905,0,0,0,22.65,16.49,254.7
2007,"recharge",18940903.8287013,18.9409038287013,0,41.34,73.13,77.71,103.9,306.5
2008,"recharge",14247008.114643,14.247008114643,0,0,27.73,58.45,92.39,401.2
2009,"recharge",35201707.0442712,35.2017070442712,0,93.28,114.5,144.4,237,402.8
2010,"recharge",22115328.3808668,22.1153283808668,0,62.96,73.37,90.74,110.6,372.6
2011,"recharge",18238999.6101285,18.2389996101285,0,0,11.67,74.83,164.4,398
2012,"recharge",6983089.5708837,6.9830895708837,0,0,20.87,28.65,37.14,153
2013,"recharge",4829973.7730139,4.8299737730139,0,0,0,19.82,24.47,209.3
2014,"recharge",10376147.5802136,10.3761475802136,0,0,19.32,42.57,51.38,316.3
2015,"recharge",23170055.0131935,23.1700550131935,0,22.08,67.62,95.06,155.2,406
2016,"recharge",24449489.3758374,24.4494893758374,0,71.92,91.99,100.3,106.8,427.4
2017,"recharge",56547082.0463508,56.5470820463508,34.05,203.2,233.1,232,259.9,497.6
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",124878951.820289,124.878951820289,333.5,460.9,518.7,512.4,583.4,741.2
2007,"etac",132869869.704684,132.869869704684,369.8,482.2,564.1,545.1,643.2,741.9
2008,"etac",139007638.208759,139.007638208759,383.2,466.2,587,570.3,659.7,804.2
2009,"etac",137688164.749591,137.688164749591,407.3,429,595.8,564.9,649.9,774.4
2010,"etac",127848972.404584,127.848972404584,331.5,474.9,538,524.5,618.3,844.6
2011,"etac",137271972.394878,137.271972394878,376.3,412.4,616.7,563.2,652.3,868.8
2012,"etac",109824202.534696,109.824202534696,252.8,386.5,424.5,450.6,578.4,809.7
2013,"etac",112601548.229641,112.601548229641,318.8,347.1,480.8,462,553.3,688.3
2014,"etac",129724062.14335,129.72406214335,331.9,423.6,556.1,532.2,617.4,875.4
2015,"etac",146158867.152007,146.158867152007,384.7,444.8,620.9,599.7,725.6,854.7
2016,"etac",137100245.673839,137.100245673839,325.4,521.2,562.1,562.5,624,896
2017,"etac",161580039.01209,161.58003901209,402.5,602.8,670,662.9,720.1,890.9
2006,"esac",77392520.1270252,77.3925201270252,235.3,302.8,314.5,317.5,329.6,463.6
2007,"esac",85199405.5707768,85.1994055707768,220.5,335.8,352.7,349.6,373.8,420.6
2008,"esac",86549757.6382983,86.5497576382983,245.2,342.2,351.8,355.1,365.7,456.9
2009,"esac",92670500.8258092,92.6705008258092,287.1,360,377.1,380.2,413.7,545.6
2010,"esac",77036768.9799525,77.0367689799525,192.7,296.4,323.4,316.1,341.2,460.1
2011,"esac",85077175.4539236,85.0771754539236,241.6,325,338.6,349.1,396.5,538.1
2012,"esac",62424674.2714122,62.4246742714122,157.3,231.2,262.9,256.1,290.5,341.4
2013,"esac",76349083.0766472,76.3490830766472,184.2,292.2,325.2,313.2,335.9,436.5
2014,"esac",75488266.5544728,75.4882665544728,243.5,287,302.9,309.7,328.6,491.6
2015,"esac",89932555.8818766,89.9325558818766,220.2,361.3,376.2,369,398.2,574.5
2016,"esac",74987260.4779542,74.9872604779542,230.3,293.8,305.9,307.7,320.7,463.4
2017,"esac",81175479.2572653,81.1754792572653,261.8,298.5,340.3,333.1,356.7,560.3
2006,"epac",47486431.6971957,47.4864316971957,0,157.1,211,194.8,286.2,462.4
2007,"epac",47670464.1285621,47.6704641285621,0,157.7,241.9,195.6,291.4,395.4
2008,"epac",52457880.5746047,52.4578805746047,0,111.1,255.2,215.2,315.1,549.4
2009,"epac",45017663.9254497,45.0176639254497,0,0,225.8,184.7,291.2,440.2
2010,"epac",50812203.4171713,50.8122034171713,0,182.4,263.4,208.5,293.9,610.4
2011,"epac",52194796.9470459,52.1947969470459,0,0,287.1,214.1,329.2,565.9
2012,"epac",47399528.2588191,47.3995282588191,0,153.2,191.8,194.5,287.3,561.8
2013,"epac",36252465.1553124,36.2524651553124,0,0,188.2,148.7,224.5,400
2014,"epac",54235795.5810567,54.2357955810567,0,94.58,268.4,222.5,324.7,516.8
2015,"epac",56226311.2778427,56.2263112778427,0,31.51,257.2,230.7,366.8,502.1
2016,"epac",62112985.1920026,62.1129851920026,0,209.9,256.1,254.8,313.8,650.5
2017,"epac",80404559.7542676,80.4045597542676,0,240,353.3,329.9,382.3,582.8
2006,"rofc",126298.6349409,0.1262986349409,0,0,0,0.5182,0,97.52
2007,"rofc",22919.1441102,0.0229191441102,0,0,0,0.09403,0,38.06
2008,"rofc",433270.1871972,0.4332701871972,0,0,0,1.778,0.4519,151.9
2009,"rofc",536619.2213655,0.5366192213655,0,0,0,2.202,0,148
2010,"rofc",70990.8370677,0.0709908370677,0,0,0,0.2913,0,117.7
2011,"rofc",807053.4943533,0.8070534943533,0,0,0,3.311,0,142.2
2012,"rofc",1663527.0659094,1.6635270659094,0,4.847,6.125,6.825,8.673,79.68
2013,"rofc",197405.2618695,0.1974052618695,0,0,0,0.8099,0.03846,115.5
2014,"rofc",120242.8370475,0.1202428370475,0,0,0,0.4933,0,115.3
2015,"rofc",1449360.8783964,1.4493608783964,0,0,3.978,5.947,10.59,169.3
2016,"rofc",3874814.53632,3.87481453632,0,0.2644,13.71,15.9,25.57,132.2
2017,"rofc",356001.3771318,0.3560013771318,0,0,0,1.461,0,320.9
