"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211354.5016344,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13469221.8242971,5463,6152,6390,6287,6439,7414
2009,"N","MZ",17779972.860603,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75727712,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19042423.5105503,4324,5444,6124,6055,6723,7693
2012,"N","MZ",14053964.8183383,2340,3696,3840,3789,3967,4177
2013,"N","MZ",15033753.8452116,2680,3969,4502,4392,4851,6307
2014,"N","MZ",13995471.4654821,3461,5053,5374,5253,5562,7354
2015,"N","MZ",29853768.5161339,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19681960.0957986,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.761938,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3582761.96303595,2760,2997,3086,3063,3126,3354
2008,"N","WH",2259545.43091005,540.8,639.8,676.3,765.4,761.8,2096
2009,"N","WH",4222020.29888034,3364,4135,4225,4225,4359,4753
2010,"N","WH",8354594.33113968,4343,4789,4878,4853,4972,5177
2011,"N","WH",1017100.72215603,776.2,1377,1568,1846,2439,3217
2012,"N","WH",11742480.2444016,3068,4230,4338,4295,4411,4497
2013,"N","WH",2499030.06837498,986.4,1748,1821,1888,1991,2734
2014,"N","WH",5508425.54868516,302,1319,1510,1508,1834,2609
2015,"N","WH",2226765.08087559,202.3,461.4,1311,1325,1934,2761
2016,"N","WH",11333175.0063421,3101,4509,4636,4622,4794,5083
2017,"N","WH",5556369.0753423,1010,2336,2506,2503,2763,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184731,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344743.0591325,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46897935,3481,4137,4452,4369,4528,5188
2011,"N","SG",721172.55794571,3442,4101,4189,4357,4702,5769
2012,"N","SG",596276.78759451,2844,3403,3493,3456,3525,3642
2013,"N","SG",1828329.02012925,1866,2725,2838,2891,3129,3997
2014,"N","SG",2882999.66874561,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643810.51894676,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102786.64082465,3966,4678,4797,4791,4940,5941
2017,"N","SG",5679224.8174737,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.468026,1799,2148,2155,2162,2226,2261
2008,"N","SB",139716.54102744,2256,2570,2577,2627,2759,3108
2009,"N","SB",805323.13973415,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.16547754,1742,2110,2132,2169,2234,2990
2011,"N","SB",380964.5123463,2149,2460,2579,2552,2586,3163
2012,"N","SB",357731.00202645,1336,1627,1633,1647,1682,2146
2013,"N","SB",177430.40553429,1268,1515,1579,1567,1607,2157
2014,"N","SB",83417.57305137,2350,2714,2783,2783,2840,3393
2015,"N","SB",135516.71381544,2433,2804,2886,2874,2915,3146
2016,"N","SB",53449.66634805,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10218636,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94943.79601344,1431,1742,1775,1779,1869,2047
2009,"N","AL",62469.41057757,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72354785,1642,1888,1888,1935,1908,2469
2011,"N","AL",37477.53920061,1265,1576,1722,1714,1896,2014
2012,"N","AL",17601.1707798,938.1,1173,1192,1200,1252,1337
2013,"N","AL",76301.5105998,489.3,817.1,880.9,847.8,880.9,1437
2014,"N","AL",144794.5089651,2196,2429,2475,2464,2525,2575
2015,"N","AL",69785.41598073,1212,1753,1840,1820,1923,1988
2016,"N","AL",45058.5415836,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.56751554,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",47702183.3159126,1826,8690,8843,8737,9000,10090
2007,"Y","MZ",70684300.015787,4519,8922,9224,9183,9401,10210
2008,"Y","MZ",90872100.5998062,10480,11750,11910,11880,12090,12840
2009,"Y","MZ",92964870.3076051,9982,11170,11210,11250,11360,12450
2010,"Y","MZ",68600285.7260166,2875,8720,8906,9042,9339,10970
2011,"Y","MZ",84851146.0538739,4660,9765,10030,10180,10810,11540
2012,"Y","MZ",58749733.1498043,3034,7990,8033,7983,8140,8997
2013,"Y","MZ",57429562.5302042,2792,9445,9619,9600,9881,10980
2014,"Y","MZ",64519999.082121,3467,9832,10120,10080,10410,11920
2015,"Y","MZ",78511214.1719039,6242,12110,12200,12200,12520,13340
2016,"Y","MZ",78154758.2377968,4213,10450,10630,10660,11000,12080
2017,"Y","MZ",97734145.9555992,4069,12990,13200,13120,13320,13640
2006,"Y","WH",1177720.26613254,1596,4463,4546,4472,4601,4782
2007,"Y","WH",468104.20402086,2935,3133,3134,3143,3159,3323
2008,"Y","WH",297390.24304821,2974,3487,3762,3680,3794,3887
2009,"Y","WH",1010365.57781766,4217,4521,4553,4514,4560,4770
2010,"Y","WH",937760.76472356,4448,4633,4633,4745,4968,5147
2011,"Y","WH",209601.83753127,1549,3984,3984,4043,4251,4524
2012,"Y","WH",1541794.596714,3906,4315,4329,4347,4359,4658
2013,"Y","WH",1044123.56070498,1458,3842,3869,3826,3921,4167
2014,"Y","WH",2051905.27233033,391.8,3485,3633,3616,3775,4647
2015,"Y","WH",1764385.87728744,274.9,1598,1616,2174,2982,3314
2016,"Y","WH",3834908.88609816,4187,4462,4665,4579,4668,5154
2017,"Y","WH",1506708.92084454,1010,4491,4602,4512,4643,5334
2006,"Y","SG",3802686.76367199,4342,5151,5170,5203,5316,5942
2007,"Y","SG",597349.4158134,3579,5134,5149,5153,5178,5929
2008,"Y","SG",854562.61320534,4163,5080,5183,5180,5226,6014
2009,"Y","SG",584537.82319962,4926,5616,5626,5628,5650,6270
2010,"Y","SG",683654.26228056,4246,4952,5091,5122,5267,5468
2011,"Y","SG",761165.72654391,4034,4966,5009,5022,5075,5676
2012,"Y","SG",714802.1946444,3397,4644,4734,4675,4767,4767
2013,"Y","SG",3909869.19247959,2962,3986,4139,4132,4238,4881
2014,"Y","SG",7001185.60104813,4128,5428,5468,5507,5648,6226
2015,"Y","SG",7037694.64200447,4527,5571,5628,5628,5728,6099
2016,"Y","SG",6041299.45318362,4093,5182,5238,5276,5432,5867
2017,"Y","SG",3289169.35605564,5108,5603,5624,5640,5752,5870
2006,"Y","SB",751976.80915239,2746,3029,3116,3106,3185,3603
2007,"Y","SB",1857878.2899927,2503,2891,2919,2944,3007,3383
2008,"Y","SB",4151207.46743748,2560,3141,3184,3219,3365,3433
2009,"Y","SB",5178930.29862804,2947,3350,3360,3405,3483,3824
2010,"Y","SB",6537068.27642277,2137,2855,2919,2932,3026,3388
2011,"Y","SB",4501902.01654764,2381,2824,2944,2944,3055,3339
2012,"Y","SB",3206143.21546116,1662,2597,2621,2648,2743,2756
2013,"Y","SB",3429024.8434812,1393,2382,2391,2428,2482,2951
2014,"Y","SB",2499350.83387299,2596,3278,3357,3347,3427,3732
2015,"Y","SB",3857863.01224203,2590,3380,3400,3413,3457,3583
2016,"Y","SB",2208979.98896076,2605,3066,3116,3142,3235,3316
2017,"Y","SB",3911573.75557752,2923,3558,3562,3579,3630,3817
2006,"Y","AL",974576.89122111,2492,2740,2838,2821,2880,2976
2007,"Y","AL",855781.47657324,1853,2859,2882,2911,2998,3043
2008,"Y","AL",800753.77532115,2716,2748,2876,2822,2892,2896
2009,"Y","AL",350189.71696791,2916,3021,3022,3054,3031,3195
2010,"Y","AL",705553.61410962,2173,2633,2697,2722,2831,2886
2011,"Y","AL",625332.82613166,2206,2500,2681,2623,2792,2824
2012,"Y","AL",346171.07858157,1252,2238,2254,2307,2407,2440
2013,"Y","AL",429944.87385738,593.6,1528,1561,1616,1716,2403
2014,"Y","AL",855682.17460947,2439,3081,3164,3135,3207,3257
2015,"Y","AL",440041.47350589,1719,2624,2699,2616,2709,2866
2016,"Y","AL",326334.88367811,1347,2413,2445,2494,2692,2711
2017,"Y","AL",474595.09140645,1902,2710,2864,2787,2868,2869
