"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",9680872.5,9.6808725,25,150,150,137.4,150,200
2007,"irrigation",10022040,10.02204,50,100,125,112.4,125,200
2008,"irrigation",10111252.5,10.1112525,25,100,100,106.8,125,250
2009,"irrigation",7905735,7.905735,50,75,75,77.29,75,125
2010,"irrigation",13613310,13.61331,25,125,125,130.8,150,250
2011,"irrigation",7293330,7.29333,25,50,75,70.63,75,200
2012,"irrigation",16475670,16.47567,75,175,175,178,175,400
2013,"irrigation",11836507.5,11.8365075,25,125,125,132.7,150,275
2014,"irrigation",10002037.5,10.0020375,25,100,100,107.5,100,325
2015,"irrigation",12364740,12.36474,25,125,125,124.6,150,200
2016,"irrigation",10345455,10.345455,50,100,100,100.7,100,250
2017,"irrigation",9466920,9.46692,25,100,100,96.5,100,225
2006,"recharge",5616033.2605674,5.6160332605674,0,0,0,23.04,16.6,254.7
2007,"recharge",19879350.7899861,19.8793507899861,0,49.34,81.77,81.56,105.1,306.5
2008,"recharge",14605104.1870242,14.6051041870242,0,1.921,30.81,59.92,93.03,401.2
2009,"recharge",36032490.2180349,36.0324902180349,0,103,116.2,147.8,237.1,402.8
2010,"recharge",22387014.3123864,22.3870143123864,0,63.13,76.55,91.85,109.8,372.6
2011,"recharge",18359869.1968188,18.3598691968188,0,0,13.5,75.33,165.2,398
2012,"recharge",7448764.4093124,7.4487644093124,0,4.208,23.48,30.56,38.14,153
2013,"recharge",4878056.0027826,4.8780560027826,0,0,0,20.01,26.23,209.3
2014,"recharge",10979524.3696857,10.9795243696857,0,2.734,24.69,45.05,54.03,316.3
2015,"recharge",25545386.6958384,25.5453866958384,0,39.99,79.86,104.8,160.5,406
2016,"recharge",25702224.2878887,25.7022242878887,0,79.2,95.66,105.5,111.5,427.4
2017,"recharge",58677632.4493782,58.6776324493782,34.05,209.4,246.4,240.7,271.3,521.2
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",126202658.688609,126.202658688609,333.5,460.9,517.5,517.8,583.4,763.6
2007,"etac",133760357.112924,133.760357112924,369.8,482.2,564.1,548.8,650.5,757.3
2008,"etac",140442325.60984,140.44232560984,383.2,466.2,588.3,576.2,671.1,828.5
2009,"etac",138854613.081333,138.854613081333,407.3,429,595.8,569.7,660.2,791.2
2010,"etac",129087179.513809,129.087179513809,331.5,474.8,538.4,529.6,631.9,853.3
2011,"etac",139064208.085759,139.064208085759,376.3,412.4,633.3,570.6,664.2,884.5
2012,"etac",110735024.221019,110.735024221019,252.8,386.9,425,454.3,584.8,824.9
2013,"etac",114187050.37919,114.18705037919,318.8,347.1,484.7,468.5,562.2,702.6
2014,"etac",130862460.207502,130.862460207502,331.9,423.6,558.7,536.9,628.2,886.2
2015,"etac",146857164.392775,146.857164392775,384.7,448,620.9,602.5,736.2,834.5
2016,"etac",138480320.710321,138.480320710321,325.4,521.8,568.8,568.2,636.7,933
2017,"etac",161937185.223585,161.937185223585,402.5,602.8,670.9,664.4,722.9,898.5
2006,"esac",76780408.2249744,76.7804082249744,235.3,302.2,310.8,315,324.3,463.6
2007,"esac",84829006.4832153,84.8290064832153,220.5,335.8,348.9,348,373.2,420.6
2008,"esac",86146463.9117466,86.1464639117466,241,339.9,346.4,353.4,365.1,456.9
