"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",14728377.96,14.72837796,50.8,215.9,215.9,209.1,228.6,292.1
2007,"irrigation",18487910.7,18.4879107,63.5,215.9,215.9,207.3,215.9,304.8
2008,"irrigation",18183552.66,18.18355266,25.4,177.8,190.5,190.4,203.2,330.2
2009,"irrigation",16163334.45,16.16333445,12.7,152.4,165.1,156.4,165.1,203.2
2010,"irrigation",22479472.44,22.47947244,50.8,215.9,228.6,215.9,228.6,355.6
2011,"irrigation",15944267.07,15.94426707,50.8,139.7,152.4,151.2,165.1,342.9
2012,"irrigation",25400808.99,25.40080899,101.6,279.4,279.4,274.4,279.4,533.4
2013,"irrigation",18963753.03,18.96375303,50.8,203.2,215.9,212.7,228.6,330.2
2014,"irrigation",16983368.37,16.98336837,76.2,165.1,177.8,182.6,190.5,431.8
2015,"irrigation",17954461.17,17.95446117,38.1,177.8,190.5,181,203.2,342.9
2016,"irrigation",18817620.48,18.81762048,88.9,165.1,190.5,183.1,203.2,381
2017,"irrigation",16521722.1,16.5217221,76.2,165.1,177.8,168.4,177.8,355.6
2006,"recharge",5973041.8160748,5.9730418160748,0,0,0,24.51,23.69,254.7
2007,"recharge",22698875.0356092,22.6988750356092,0,73,94.18,93.13,113.7,306.5
2008,"recharge",18140137.9220646,18.1401379220646,0,31.78,53.61,74.43,93.57,401.2
2009,"recharge",38162872.4587191,38.1628724587191,0,119.9,127.5,156.6,237.6,402.8
2010,"recharge",25665119.5319379,25.6651195319379,0,77.36,104.5,105.3,122,372.6
2011,"recharge",21207275.372646,21.207275372646,0,17.28,39.75,87.01,167.8,398
2012,"recharge",8888332.7435652,8.8883327435652,0,24.47,29.15,36.47,38.8,153
2013,"recharge",5016414.5576712,5.0164145576712,0,0,0,20.58,33.28,209.3
2014,"recharge",13706695.2832695,13.7066952832695,0,12.37,42.85,56.24,75.33,316.3
2015,"recharge",28935389.4226983,28.9353894226983,0,62.74,102.3,118.7,178.1,406
2016,"recharge",28462923.6926742,28.4629236926742,0,87.84,105.6,116.8,129.1,427.4
2017,"recharge",63892257.1964658,63.8922571964658,34.05,214.2,266.7,262.1,306,578.6
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",129684451.155535,129.684451155535,333.5,460.9,519.5,532.1,603.5,798
2007,"etac",138937179.077849,138.937179077849,369.8,482.2,565.9,570,714.8,821.3
2008,"etac",145197939.700681,145.197939700681,383.2,473.6,588.4,595.7,722.5,885
2009,"etac",143223281.127438,143.223281127438,407.3,429,597.7,587.6,702.2,812.3
2010,"etac",135687869.569138,135.687869569138,331.5,476.2,542.7,556.7,699,883.3
2011,"etac",145269901.384275,145.269901384275,376.3,412.4,652.6,596,720.2,975.6
2012,"etac",117932101.647289,117.932101647289,252.8,386.9,426.8,483.9,665.1,967.8
2013,"etac",121369269.481353,121.369269481353,318.8,347.1,485.9,498,648.3,784.6
2014,"etac",134915408.685384,134.915408685384,331.9,424,563.8,553.5,670.9,960.1
2015,"etac",149965449.063476,149.965449063476,384.7,448.2,621.3,615.3,763.2,929.7
2016,"etac",143890529.467672,143.890529467672,325.4,522.3,579.7,590.4,693.6,994.8
2017,"etac",164808488.635561,164.808488635561,402.5,605.3,670.9,676.2,753.2,930.8
2006,"esac",78942885.6569805,78.9428856569805,235.3,302.9,320,323.9,349.2,463.6
2007,"esac",88246759.8542193,88.2467598542193,220.5,336.7,381.2,362.1,390.7,420.6
2008,"esac",89229405.3915708,89.2294053915708,245.2,344,372.7,366.1,390.6,456.9
2009,"esac",94259342.4842979,94.2593424842979,287.1,374.5,381.6,386.7,413.7,545.6
2010,"esac",79209639.0955251,79.2096390955251,192.7,296.6,342.8,325,350.2,460.1
2011,"esac",86959157.4429003,86.9591574429003,241.6,339.8,353.6,356.8,396.5,538.1
2012,"esac",65357450.6187555,65.3574506187555,157.3,231.9,265.3,268.2,319.6,347.2
2013,"esac",77998620.5154855,77.9986205154855,184.2,294.2,333.8,320,346.9,436.5
2014,"esac",77382415.6135488,77.3824156135488,243.5,299.5,317.3,317.5,336.2,491.6
2015,"esac",92053900.2890394,92.0539002890394,220.2,364.7,390.3,377.7,406.7,574.5
2016,"esac",77528555.8753086,77.5285558753086,230.4,296.4,321.4,318.1,341.2,463.4
2017,"esac",83134168.760664,83.134168760664,261.8,298.5,355.5,341.1,368.5,560.3
2006,"epac",50741565.5000682,50.7415655000682,0,157.1,212.4,208.2,301.5,487.5
2007,"epac",50690419.2182484,50.6904192182484,0,157.7,242.4,208,324.8,425.3
2008,"epac",55968534.3165948,55.9685343165948,0,113.1,255.2,229.6,347.3,602.7
2009,"epac",48963938.6453652,48.9639386453652,0,0,245.4,200.9,329.6,461.9
