"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",8758180.35,8.75818035,19.05,133.4,133.4,124.3,133.4,171.4
2007,"irrigation",9596913.74999999,9.59691374999999,38.1,95.25,114.3,107.6,114.3,209.6
2008,"irrigation",9339807.33,9.33980733,19.05,95.25,95.25,98.65,114.3,209.6
2009,"irrigation",7634617.06499999,7.63461706499999,38.1,76.2,76.2,74.64,76.2,114.3
2010,"irrigation",12274516.98,12.27451698,19.05,114.3,114.3,117.9,133.4,247.7
2011,"irrigation",7103242.07999999,7.10324207999999,19.05,57.15,76.2,68.79,76.2,190.5
2012,"irrigation",15677679.465,15.677679465,57.15,171.4,171.4,169.3,171.5,400
2013,"irrigation",11128202.28,11.12820228,19.05,114.3,133.4,124.8,133.4,247.7
2014,"irrigation",8554943.51999999,8.55494351999999,19.05,76.2,76.2,91.96,95.25,323.8
2015,"irrigation",10715710.725,10.715710725,19.05,95.25,114.3,108,133.3,190.5
2016,"irrigation",8833121.14499999,8.83312114499999,38.1,76.2,76.2,85.94,95.25,209.6
2017,"irrigation",8996032.93499999,8.996032935,38.1,76.2,95.25,91.7,114.3,247.6
2006,"recharge",5537031.1100487,5.5370311100487,0,0,0,22.72,16.53,254.7
2007,"recharge",19383184.8937404,19.3831848937404,0,44.26,78.37,79.53,104.7,306.5
2008,"recharge",14532007.7869812,14.5320077869812,0,1.469,29.61,59.62,92.39,401.2
2009,"recharge",35849640.1799817,35.8496401799817,0,100.6,115.4,147.1,237.4,402.8
2010,"recharge",22756712.7416391,22.7567127416391,0,65.26,80.41,93.37,110.7,372.6
2011,"recharge",18290106.1861272,18.2901061861272,0,0,13.37,75.04,164.9,398
2012,"recharge",7231531.6802655,7.2315316802655,0,1.825,23.24,29.67,37.6,153
2013,"recharge",4848066.4354065,4.8480664354065,0,0,0,19.89,26.22,209.3
2014,"recharge",10683405.1370817,10.6834051370817,0,0.1836,22.16,43.83,53.5,316.3
2015,"recharge",23834955.2099877,23.8349552099877,0,25.86,71.62,97.79,159.5,406
2016,"recharge",24953519.1697398,24.9535191697398,0,74.17,93.74,102.4,107.9,427.4
2017,"recharge",57582960.6849129,57.5829606849129,34.05,207.4,237.4,236.3,266.8,513.3
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",125726740.480189,125.726740480189,333.5,460.9,518.8,515.8,583.4,757.2
2007,"etac",133499891.965721,133.499891965721,369.8,482.2,565.7,547.7,647.6,750.8
2008,"etac",139885672.568346,139.885672568346,383.2,466.2,587.9,573.9,666.9,814
2009,"etac",138182261.437184,138.182261437184,407.3,429,595.9,566.9,655.3,784.1
2010,"etac",128355052.712748,128.355052712748,331.5,474.9,537.7,526.6,621.8,850.1
2011,"etac",138688568.758229,138.688568758229,376.3,412.4,628.8,569,665.6,877.5
2012,"etac",110090548.942399,110.090548942399,252.8,386.5,426.6,451.7,579.4,825.8
2013,"etac",113626776.065899,113.626776065899,318.8,347.1,483.6,466.2,562.2,696
2014,"etac",130353033.061135,130.353033061135,331.9,423.8,557.8,534.8,624.4,881.4
2015,"etac",146459855.94437,146.45985594437,384.7,446.7,620.9,600.9,729.7,836.5
2016,"etac",137721863.741039,137.721863741039,325.4,521.7,567.1,565.1,629.2,913.8
2017,"etac",162049657.240076,162.049657240076,402.5,602.8,670.7,664.9,729,898.1
2006,"esac",77098534.7391189,77.0985347391189,235.3,302.8,311.9,316.3,326.4,463.6
2007,"esac",84951584.4608496,84.9515844608496,220.5,335.8,350.2,348.5,371.2,420.6
2008,"esac",86801053.5938367,86.8010535938367,245.2,341.6,353.4,356.1,369.5,456.9
2009,"esac",92617815.8863674,92.6178158863674,287.1,358.7,377.2,380,413.7,545.6
2010,"esac",76885742.4960492,76.8857424960492,192.7,296.4,323.1,315.5,339.6,460.1
2011,"esac",84992338.0660842,84.9923380660842,241.6,324.6,338.7,348.7,396.5,538.1
2012,"esac",61810964.8561791,61.8109648561791,157.3,231.2,260.3,253.6,283.2,341.4
2013,"esac",76042344.4035759,76.0423444035759,184.2,291.8,322.7,312,334.6,436.5
2014,"esac",75485924.3483154,75.4859243483154,243.5,287.1,304.3,309.7,328.7,491.6
2015,"esac",89720463.9432483,89.7204639432483,220.2,360.3,375.5,368.1,398.2,574.5
2016,"esac",75041427.5789895,75.0414275789895,230.3,293.5,307.1,307.9,320.7,463.4
2017,"esac",81320601.4689006,81.3206014689006,261.8,298.5,343.3,333.6,360.2,560.3
2006,"epac",48628205.7438951,48.6282057438951,0,157.1,211,199.5,291.6,476.6
2007,"epac",48548307.4889373,48.5483074889373,0,157.7,242,199.2,300.5,406.1
2008,"epac",53084618.9927442,53.0846189927442,0,111.1,255.2,217.8,315.4,561.4
2009,"epac",45564445.5529077,45.5644455529077,0,0,226.4,186.9,296.6,444.3
2010,"epac",51469310.2076874,51.4693102076874,0,182.4,263.7,211.2,298.4,614.7
2011,"epac",53696230.6956336,53.6962306956336,0,0,305.1,220.3,345.8,600.4
2012,"epac",48279584.0785941,48.2795840785941,0,153.4,191.8,198.1,295.5,592.8
2013,"epac",37584431.6644962,37.5844316644962,0,0,193,154.2,236.9,414.8
2014,"epac",54867108.7106649,54.8671087106649,0,94.7,268.4,225.1,329.2,524.9
2015,"epac",56739392.0074404,56.7393920074404,0,35.45,257.8,232.8,371.4,503.2
2016,"epac",62680436.1608517,62.6804361608517,0,210,259.4,257.2,321.3,669.9
2017,"epac",80729055.7685631,80.7290557685631,0,241.4,354.9,331.2,386.2,593.3
2006,"rofc",126298.9162143,0.1262989162143,0,0,0,0.5182,0,97.52
2007,"rofc",22919.1441102,0.0229191441102,0,0,0,0.09403,0,38.06
2008,"rofc",500338.5518187,0.5003385518187,0,0,0,2.053,0.4519,151.9
2009,"rofc",536619.9312126,0.5366199312126,0,0,0,2.202,0,148
2010,"rofc",71430.8920182,0.0714308920182,0,0,0,0.2931,0,124.1
2011,"rofc",887587.2538119,0.8875872538119,0,0,0,3.642,0,142.2
2012,"rofc",1663528.0663737,1.6635280663737,0,4.847,6.125,6.825,8.673,89.39
2013,"rofc",197852.4244359,0.1978524244359,0,0,0,0.8118,0.03846,115.5
2014,"rofc",120235.5495342,0.1202355495342,0,0,0,0.4933,0,115.3
2015,"rofc",1452984.6252231,1.4529846252231,0,0,3.978,5.961,10.59,169.3
2016,"rofc",3874805.8748586,3.8748058748586,0,0.2644,13.71,15.9,25.57,132.2
2017,"rofc",358646.80968,0.35864680968,0,0,0,1.471,0,320.9
