"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0404478,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13472011.0119779,5527,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8657692,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75801161,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19059296.1432082,4324,5470,6128,6060,6723,7693
2012,"N","MZ",14059123.3836692,2340,3696,3840,3790,3967,4177
2013,"N","MZ",15080093.609614,2680,3992,4519,4405,4854,6367
2014,"N","MZ",13999066.6635285,3461,5053,5374,5254,5562,7354
2015,"N","MZ",29854413.5948632,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19681960.7511859,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.7474776,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3585090.04264098,2760,2997,3086,3065,3127,3354
2008,"N","WH",2263822.99884522,540.8,639.8,676.3,766.9,761.8,2096
2009,"N","WH",4238701.20566613,3348,4152,4257,4241,4359,4753
2010,"N","WH",8354508.37327647,4343,4789,4877,4853,4972,5177
2011,"N","WH",1019594.33006067,776.2,1377,1630,1850,2471,3217
2012,"N","WH",11747372.6753612,3068,4230,4338,4296,4411,4497
2013,"N","WH",2500116.27903243,986.4,1756,1817,1889,2011,2734
2014,"N","WH",5560269.94778985,208.4,1322,1523,1523,1837,2609
2015,"N","WH",2253792.03975774,202.3,498.6,1328,1341,1949,2761
2016,"N","WH",11341134.0890004,3101,4512,4636,4625,4794,5083
2017,"N","WH",5616978.92770266,1010,2368,2550,2530,2763,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.1318474,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344742.73504088,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46898322,3481,4137,4452,4369,4528,5188
2011,"N","SG",721547.77076451,3442,4101,4189,4360,4702,5769
2012,"N","SG",596277.60525189,2844,3403,3493,3456,3525,3642
2013,"N","SG",1829977.35792894,1866,2725,2860,2893,3142,4010
2014,"N","SG",2883054.24371061,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643815.15662651,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102380.14710626,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81986662,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.468026,1799,2148,2155,2162,2226,2261
2008,"N","SB",139734.09279315,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.13976322,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.16864599,1742,2110,2132,2169,2234,2990
2011,"N","SB",381347.16465465,2149,2476,2579,2554,2584,3163
2012,"N","SB",357775.70031036,1336,1627,1633,1647,1682,2146
2013,"N","SB",178323.91674372,1268,1540,1579,1575,1608,2157
2014,"N","SB",83428.07262363,2350,2714,2783,2784,2840,3393
2015,"N","SB",135518.89017006,2433,2804,2886,2874,2915,3146
2016,"N","SB",53449.66636173,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10364058,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94951.84238802,1431,1742,1775,1779,1871,2047
2009,"N","AL",62469.41057352,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72355937,1642,1888,1888,1935,1908,2469
2011,"N","AL",37539.685458,1265,1576,1722,1716,1896,2014
2012,"N","AL",17601.15195711,938.1,1173,1192,1200,1252,1337
2013,"N","AL",78834.71778336,489.3,817.1,927.2,875.9,927.2,1446
2014,"N","AL",144789.18972651,2196,2429,2475,2464,2525,2575
2015,"N","AL",69805.89206982,1212,1753,1840,1821,1923,1988
2016,"N","AL",45058.54215879,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.58154114,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",50945574.3311526,1826,9249,9403,9331,9661,10900
2007,"Y","MZ",73258871.3264433,4519,9413,9539,9518,9636,10510
2008,"Y","MZ",92006391.6339368,10870,11530,12090,12030,12550,13010
2009,"Y","MZ",95577398.3521758,10090,11340,11430,11560,11920,13030
2010,"Y","MZ",70333446.5391394,2875,8929,9224,9270,9593,11160
2011,"Y","MZ",84580583.7800583,4689,9876,10110,10140,10430,11550
2012,"Y","MZ",59515065.6428158,3034,8095,8144,8087,8221,9228
2013,"Y","MZ",59953375.0386176,2792,9895,10110,10020,10320,11300
2014,"Y","MZ",66197685.1996175,3467,10000,10390,10340,10730,12090
2015,"Y","MZ",79291965.8050905,6242,12200,12380,12320,12600,13370
2016,"Y","MZ",80561363.4167896,4213,10600,10920,10990,11340,12410
2017,"Y","MZ",98328614.6117038,4069,13090,13280,13200,13390,13640
2006,"Y","WH",1218114.25833159,1596,4589,4689,4626,4708,4899
2007,"Y","WH",468149.85923913,2935,3133,3133,3143,3159,3337
2008,"Y","WH",301072.89861036,2970,3427,3822,3725,3930,3995
2009,"Y","WH",1011370.24405512,4217,4525,4560,4518,4562,4786
2010,"Y","WH",929101.518486,4452,4633,4633,4744,4985,5147
2011,"Y","WH",215766.15728004,1622,4067,4188,4162,4405,4565
2012,"Y","WH",1539522.26107767,3967,4294,4326,4340,4376,4659
2013,"Y","WH",1057041.1269387,1458,3875,3958,3876,3982,4258
2014,"Y","WH",2099010.26951235,454.3,3550,3698,3699,3802,4634
2015,"Y","WH",1765043.12605077,271.2,1598,1616,2175,2988,3321
2016,"Y","WH",3832862.07247353,4232,4483,4667,4582,4675,5156
2017,"Y","WH",1522234.83633678,1010,4527,4628,4558,4679,5332
2006,"Y","SG",3854839.7534895,4342,5226,5251,5274,5379,5943
2007,"Y","SG",602667.4300749,3579,5151,5206,5199,5243,5932
2008,"Y","SG",874919.65716747,4160,5260,5293,5304,5306,6015
2009,"Y","SG",597139.10586909,4880,5662,5778,5749,5809,6285
2010,"Y","SG",702239.4143865,4246,5012,5193,5191,5304,5577
2011,"Y","SG",767994.02134425,4182,5002,5026,5067,5091,5675
2012,"Y","SG",731466.68069223,3397,4693,4871,4784,4886,4887
