"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",11443792.5,11.4437925,25,175,175,162.5,175,200
2007,"irrigation",13425390,13.42539,50,150,150,150.5,150,250
2008,"irrigation",12740377.5,12.7403775,25,125,125,134.6,150,275
2009,"irrigation",10181520,10.18152,50,100,100,99.54,100,125
2010,"irrigation",16961355,16.961355,25,150,175,162.9,175,300
2011,"irrigation",12283785,12.283785,25,125,125,116.5,125,250
2012,"irrigation",20242575,20.242575,75,225,225,218.7,225,450
2013,"irrigation",14672520,14.67252,25,150,175,164.5,175,275
2014,"irrigation",12972150,12.97215,50,125,125,139.4,150,375
2015,"irrigation",13971960,13.97196,25,125,150,140.8,150,250
2016,"irrigation",12638272.5,12.6382725,50,100,125,123,150,250
2017,"irrigation",12905325,12.905325,50,125,125,131.5,150,275
2006,"recharge",5745293.2700433,5.7452932700433,0,0,0,23.57,23.29,254.7
2007,"recharge",21163511.1984156,21.1635111984156,0,60.57,88.97,86.83,110.7,306.5
2008,"recharge",15667140.9318957,15.6671409318957,0,13.66,37.49,64.28,92.39,401.2
2009,"recharge",36945697.5221463,36.9456975221463,0,113,120.9,151.6,237.4,402.8
2010,"recharge",23132218.331718,23.132218331718,0,69.67,82.55,94.91,110.7,372.6
2011,"recharge",19331224.0239339,19.3312240239339,0,0,27.44,79.31,165.2,398
2012,"recharge",8358937.8944418,8.3589378944418,0,16.27,28.3,34.3,38.26,153
2013,"recharge",4921973.7595479,4.9219737595479,0,0,0,20.19,29.97,209.3
2014,"recharge",12371905.7987796,12.3719057987796,0,7.126,33.06,50.76,65.05,316.3
2015,"recharge",26356869.4991634,26.3568694991634,0,44.39,83.76,108.1,166.2,406
2016,"recharge",26442650.2438521,26.4426502438521,0,83.68,97.7,108.5,116,427.4
2017,"recharge",60951590.3774187,60.9515903774187,34.05,211.1,256.2,250.1,287,525.7
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",127245763.749264,127.245763749264,333.5,460.9,518.9,522.1,591.8,776.6
2007,"etac",135306811.864634,135.306811864633,369.8,482.2,565.9,555.1,669.2,775.3
2008,"etac",142286324.705156,142.286324705156,383.2,467.5,588.4,583.8,691.8,847.4
2009,"etac",140339415.339603,140.339415339603,407.3,429,595.9,575.8,674.2,796
