"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",12633378.975,12.633378975,31.75,190.5,190.5,179.4,190.5,254
2007,"irrigation",14659489.35,14.65948935,63.5,158.8,158.8,164.3,190.5,254
2008,"irrigation",14823452.7,14.8234527,31.75,158.8,158.8,156.6,158.8,254
2009,"irrigation",12800971.35,12.80097135,63.5,127,127,125.1,127,158.8
2010,"irrigation",18689364.45,18.68936445,31.75,158.8,190.5,179.5,190.5,349.2
2011,"irrigation",14858514.225,14.858514225,31.75,127,158.8,140.9,158.8,285.8
2012,"irrigation",21459596.4,21.4595964,95.25,222.2,222.2,231.8,254,476.2
2013,"irrigation",16300837.35,16.30083735,31.75,158.8,190.5,182.8,190.5,317.5
2014,"irrigation",15036793.65,15.03679365,63.5,158.8,158.8,161.6,158.8,412.8
2015,"irrigation",16810158.15,16.81015815,31.75,158.8,190.5,169.4,190.5,254
2016,"irrigation",14844055.275,14.844055275,63.5,127,127,144.4,158.8,317.5
2017,"irrigation",13874934.15,13.87493415,63.5,127,127,141.4,158.8,317.5
2006,"recharge",6031327.092372,6.031327092372,0,0,0,24.75,28.14,254.7
2007,"recharge",21923149.7617812,21.9231497617812,0,66.1,92.07,89.95,112.8,306.5
2008,"recharge",16652329.5753351,16.6523295753351,0,20.57,40.89,68.32,93.03,401.2
2009,"recharge",37283982.55524,37.28398255524,0,115,121.8,153,237.4,402.8
2010,"recharge",24459104.4353424,24.4591044353424,0,76.32,94.97,100.4,112.8,372.6
2011,"recharge",20885301.2702538,20.8853012702538,0,14.98,39.27,85.69,165.2,398
2012,"recharge",8872236.485523,8.872236485523,0,23.89,28.7,36.4,38.26,153
2013,"recharge",5042595.2436198,5.0425952436198,0,0,0,20.69,33.95,209.3
2014,"recharge",13162764.8930994,13.1627648930994,0,9.874,37.71,54,69.9,316.3
2015,"recharge",29307247.6489263,29.3072476489263,0,60.53,105,120.2,178.1,406
2016,"recharge",27558696.7747404,27.5586967747404,0,87.63,103.2,113.1,118.5,427.4
2017,"recharge",62752911.1492032,62.7529111492032,34.05,214.5,259.7,257.5,294.9,571.5
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
