"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500788,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13473117.3723951,5527,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8704478,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.7608008,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19091225.9872843,4324,5471,6160,6090,6723,7693
2012,"N","MZ",14061906.1556142,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15298048.3813409,2680,4136,4594,4469,4906,6482
2014,"N","MZ",14007409.7477027,3461,5053,5374,5257,5563,7354
2015,"N","MZ",29855322.2586317,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682772.5727087,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.691015,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587846.47915014,2760,2997,3086,3067,3127,3354
2008,"N","WH",2347800.47919486,540.8,639.8,685.3,795.3,819.4,2096
2009,"N","WH",4315233.60408483,3364,4174,4337,4318,4484,4753
2010,"N","WH",8345606.40531171,4343,4789,4878,4854,4974,5177
2011,"N","WH",1107983.8459836,776.2,1457,1910,2016,2673,3237
2012,"N","WH",11771869.7605884,3068,4230,4338,4305,4411,4497
2013,"N","WH",2515217.93267283,986.4,1769,1833,1901,2033,2745
2014,"N","WH",5717297.48139135,209.4,1342,1594,1566,1840,2609
2015,"N","WH",2459166.4553265,202.3,889,1536,1463,1943,2761
2016,"N","WH",11364310.2519203,3101,4514,4638,4635,4794,5083
2017,"N","WH",5715885.61217223,1010,2391,2605,2575,2856,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344744.36211731,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899555,3481,4137,4452,4369,4528,5188
2011,"N","SG",721785.81146706,3442,4101,4189,4363,4702,5769
2012,"N","SG",596277.90374715,2844,3403,3493,3456,3525,3642
2013,"N","SG",1835830.98117135,1866,2725,2860,2902,3165,4232
2014,"N","SG",2883016.12183785,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643826.13372554,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102383.05140212,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81271297,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139741.56711747,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.13977015,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.17003964,1742,2110,2132,2169,2234,2990
2011,"N","SB",381309.23265957,2149,2551,2579,2563,2609,3163
2012,"N","SB",357814.26130473,1336,1627,1633,1647,1682,2146
2013,"N","SB",183333.84130224,1268,1545,1579,1619,1690,2157
2014,"N","SB",83451.99627486,2350,2714,2783,2785,2840,3393
2015,"N","SB",135524.72139309,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.6663989,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10446417,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94960.83455334,1431,1742,1775,1779,1872,2047
2009,"N","AL",62469.41057073,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72359528,1642,1888,1888,1935,1908,2469
2011,"N","AL",37645.88354469,1265,1576,1728,1721,1896,2015
2012,"N","AL",17601.15822111,938.1,1173,1192,1200,1252,1337
2013,"N","AL",88071.52835376,489.3,823.3,1001,978.6,1172,1519
2014,"N","AL",144797.00842872,2196,2429,2475,2464,2525,2575
2015,"N","AL",69851.9882115,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54289445,1295,1580,1614,1600,1641,1825
