FPDIV_KEY,energy_cd,FID,WUA_YEAR,LIFT_ENERG,CEDTotal,GHGTotal,EnergyPump,geometry
28146IRR51134,1,10577,2014,133402.1385,695025.141585,38153.011611,202124.45227272727,"c(-100.65372, 39.40818)"
28388IRR42956,1,10578,2014,105860.4316,551532.848636,30276.083437600002,160394.59333333332,"c(-100.650781, 39.428188)"
28560IRR7488,1,10579,2014,102926.263,536245.8302300001,29436.911218000005,155948.88333333333,"c(-100.68322, 39.41568)"
28564IRR20779,1,10580,2014,189669.2435,988176.7586350001,54245.40364100001,287377.64166666666,"c(-100.6637, 39.41564)"
29680IRR25246,5,11186,2014,97235.06439,553267.5163791,32087.571248700002,648233.7626,"c(-100.54375, 39.36922)"
30591IRR6348,5,11187,2014,127041.3896,722865.506824,41923.658568,846942.5973333333,"c(-100.5285132, 39.38665071)"
29501IRR34244,1,11309,2014,60388.897489999996,314626.15592289995,17271.22468214,91498.32953030302,"c(-100.45746, 39.42756)"
30869IRR27831,1,11626,2014,119724.2517,623763.351357,34241.1359862,181400.38136363635,"c(-100.72548, 39.34025)"
30951IRR44911,1,11674,2014,45244.340189999995,235723.0123899,12939.88129434,68552.03059090908,"c(-100.660566, 39.393536)"
31227IRR51584,5,12161,2014,123112.4172,700509.653868,40627.097676,820749.448,"c(-100.58511, 39.46344)"
31104IRR39093,5,12183,2014,223387.4317,1271074.486373,73717.852461,1489249.5446666665,"c(-100.62617, 39.38165)"
31105IRR81865,5,12184,2014,96184.73461,547291.1399309001,31740.962421300002,641231.5640666666,"c(-100.59687, 39.37518)"
32073IRR48657,5,12283,2014,134206.7932,763636.653308,44288.241755999996,894711.9546666666,"c(-100.52525, 39.41567)"
31506IRR15540,1,12677,2014,87086.08668,453718.51160279993,24906.62079048,131948.61618181816,"c(-100.73946, 39.30751)"
32529IRR51209,1,12678,2014,101955.2928,531187.075488,29159.2137408,154477.71636363634,"c(-100.74755, 39.31054)"
31012IRR51707,1,12738,2014,99399.42127,517870.98481670005,28428.234483220003,150605.18374242424,"c(-100.57351, 39.41888)"
32536IRR13049,1,12776,2014,104312.55530000001,543468.413113,29833.390815800005,158049.3262121212,"c(-100.645, 39.37664)"
34496IRR37325,5,13295,2014,53186.63121,302631.9315849,17551.5882993,354577.5414,"c(-100.59471, 39.47729)"
35040IRR5333,5,13296,2014,88457.5821,503323.642149,29191.002093000003,589717.214,"c(-100.60357, 39.47738)"
36577IRR53297,5,13298,2014,55846.83147999999,317768.4711212,18429.454388399998,372312.20986666664,"c(-100.58883, 39.48068)"
34321IRR18222,5,13328,2014,203698.0075,1159041.662675,67220.34247500001,1357986.7166666668,"c(-100.60626, 39.38595)"
33986IRR43222,1,13927,2014,78840.02906,410756.5514026,22548.24831116,119454.58948484847,"c(-100.62305, 39.35225)"
4576IRR12958,5,14553,2014,119760.92199999999,681439.64618,39521.10426,798406.1466666666,"c(-100.506332, 39.386746)"
39623IRR160,5,14676,2014,76113.87471,433087.94709990005,25117.578654300003,507425.8314,"c(-100.61255, 39.43698)"
39864IRR52210,1,15071,2014,102661.9956,534868.997076,29361.330741600003,155548.47818181818,"c(-100.6219, 39.41927)"
64135IRR65616,5,15658,2014,78938.72941,449161.37034290005,26049.7807053,526258.1960666667,"c(-100.55608, 39.3844)"
4983IRR3530,1,16290,2014,81030.59288,422169.3889048,23174.74956368,122773.62557575757,"c(-100.62313, 39.41049)"
5212IRR16394,1,16291,2014,90858.38165,473372.1683965,25985.497151900003,137664.2146212121,"c(-100.691684, 39.418223)"
68335IRR39366,5,16915,2014,127309.8132,724392.8371080001,42012.238356,848732.0880000001,"c(-100.57483, 39.39723)"
68336IRR41462,5,16916,2014,170002.5884,967314.7279960001,56100.85417200001,1133350.5893333335,"c(-100.56885, 39.39477)"
7417IRR49677,1,17117,2014,91358.60846,475978.35007660004,26128.562019560002,138422.13403030302,"c(-100.49202, 39.435555)"
7345IRR3724,5,17118,2014,95161.44732,541468.6352508,31403.277615600004,634409.6488000001,"c(-100.61227, 39.42999)"
7437IRR3504,5,17119,2014,42884.06023,244010.30270870004,14151.7398759,285893.7348666667,"c(-100.59763, 39.44072)"
7789IRR30042,1,17575,2014,103374.7148,538582.264108,29565.168432800005,156628.35575757574,"c(-100.61691, 39.36068)"
9090IRR5989,5,18080,2014,50282.83645,286109.33940050006,16593.3360285,335218.9096666667,"c(-100.5686, 39.46827)"
