masterid,year,PDIV_ID,crop,volume_m3,area_m2,depth_m,system
sheridan,1996,2252,4,111296.9004,437060.88,0.254649111111111,1
sheridan,1996,22590,2,163534.7784,534185.52,0.306139272727273,3
sheridan,1996,22649,18,122644.9164,550372.96,0.222840176470588,3
null_geo9,1996,22651,,,,,
null_geo9,1996,22716,2,126875.7528,526091.8,0.241167138461538,3
null_geo9,1996,22872,2,264310.0944,728434.8,0.362847466666665,3
sheridan,1996,23036,2,104586.7692,493716.92,0.211836,3
null_geo9,1996,23064,2,180112.7496,485623.2,0.370890799999999,3
null_geo9,1996,23105,2,139136.544,485623.2,0.286512,3
null_geo9,1996,23108,2,133413.1968,465388.9,0.286671026086957,3
sheridan,1996,23308,2,274251.9432,566560.4,0.484065942857144,6
null_geo9,1996,23584,2,183973.542,380404.84,0.483626808510637,3
sheridan,1996,2360,2,121288.0884,485623.2,0.2497582,3
sheridan,1996,2377,24,112185.006,501810.64,0.223560967741936,3
sheridan,1996,23770,2,167654.6016,505857.5,0.331427328,3
null_geo9,1996,23791,2,220089.8364,647497.6,0.33990915,1
null_geo9,1996,24275,2,171700.416,485623.2,0.353568,3
null_geo9,1996,2440,1,171700.416,485623.2,0.353568,3
sheridan,1996,24413,,,,,
sheridan,1996,24456,23,287314.4964,627263.3,0.458045574193549,6
null_geo9,1996,24675,2,179878.3884,493716.92,0.36433593442623,3
sheridan,1996,25246,23,280777.0524,586794.7,0.478493958620691,6
null_geo9,1996,25266,5,96692.4972,485623.2,0.1991106,3
null_geo9,1996,25386,2,313427.268,647497.6,0.4840605,1
sheridan,1996,25422,2,156639.6252,485623.2,0.3225546,3
sheridan,1996,25476,24,134227.2936,501810.64,0.267486580645161,3
sheridan,1996,25652,17,165668.6988,477529.48,0.346929559322034,3
null_geo9,1996,25722,2,0,0,0,4
sheridan,1996,25805,23,287314.4964,607029,0.473313760000001,6
sheridan,1996,25860,18,153716.2776,550372.96,0.279295411764706,3
sheridan,1996,26036,-99,0,0,0,-99
null_geo9,1996,262,2,194877.5052,445154.6,0.437775927272728,3
null_geo9,1996,2623,,,,,
null_geo9,1996,26269,2,163806.144,445154.6,0.367976727272728,4
sheridan,1996,26420,2,164706.5844,546326.1,0.301481066666667,3
sheridan,1996,26450,2,129910.1136,558466.68,0.232619826086956,4
null_geo9,1996,26461,2,140481.0372,428967.16,0.327487471698113,6
sheridan,1996,26685,2,280777.0524,566560.4,0.495583028571428,4
sheridan,1996,26692,2,155011.4316,485623.2,0.3192018,4
sheridan,1996,26789,16,110359.4556,485623.2,0.2272538,3
sheridan,1996,26793,2,231043.1388,505857.5,0.456736704,3
null_geo9,1996,26853,,,,,
null_geo9,1996,2690,2,296059.8696,979340.12,0.302306181818182,3
null_geo9,1996,27047,2,191917.1532,647497.6,0.29639895,1
null_geo9,1996,27160,,,,,
sheridan,1996,27216,,,,,
null_geo9,1996,27579,2,179755.0404,465388.9,0.386247860869566,3
null_geo9,1996,27778,2,327069.5568,505857.5,0.646566144,3
sheridan,1996,2782,-99,0,0,0,-99
sheridan,1996,27831,2,224851.0692,485623.2,0.463016599999999,4
null_geo9,1996,27939,26,369081.8856,1011715,0.364809024,3
sheridan,1996,27964,,,,,
sheridan,1996,2828,16,363851.9304,639403.88,0.569050025316457,1
sheridan,1996,28341,2,154900.4184,505857.5,0.306214272,4
sheridan,1996,28796,16,56777.0844,161874.4,0.3507486,6
sheridan,1996,29122,-99,0,0,0,-99
null_geo9,1996,29189,-99,354317.13,890309.2,0.397971818181819,-99
sheridan,1996,29277,16,107312.76,384451.7,0.279132631578947,3
