"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500825,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13272026.7906959,5527,6157,6390,6287,6439,7414
2009,"N","MZ",17746973.5187141,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.76097216,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19188468.8890007,4324,5518,6176,6121,6723,7693
2012,"N","MZ",14062087.2922744,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15665325.3299429,2680,4179,4658,4576,5110,6482
2014,"N","MZ",14009334.9945582,3461,5053,5374,5258,5563,7354
2015,"N","MZ",29855346.3334037,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19684552.3653888,3901,5429,5639,5623,5890,7415
2017,"N","MZ",28875712.691035,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587767.67017269,2760,2997,3085,3067,3127,3354
2008,"N","WH",2403470.72813733,540.8,639.8,685.3,820.2,1073,2096
2009,"N","WH",3899521.7059005,3364,4172,4348,4307,4470,4753
2010,"N","WH",8346008.00074905,4343,4789,4878,4854,4974,5177
2011,"N","WH",1177054.02632835,776.2,1457,2404,2142,2686,3233
2012,"N","WH",11772794.3757182,3068,4230,4338,4306,4411,4497
2013,"N","WH",2539088.99630613,986.4,1769,1866,1919,2155,2748
2014,"N","WH",6011665.75635642,302,1391,1669,1646,1863,2654
2015,"N","WH",2563185.20319342,202.3,1081,1588,1525,1995,2761
2016,"N","WH",11384377.6399502,3101,4515,4640,4643,4794,5083
2017,"N","WH",5747934.71263932,1010,2391,2607,2589,2856,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344298.44962877,3773,4558,4678,4596,4692,6028
2009,"N","SG",2098795.00182804,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899555,3481,4137,4452,4369,4528,5188
2011,"N","SG",722184.26922549,3442,4101,4189,4366,4702,5769
2012,"N","SG",596277.90377352,2844,3403,3493,3456,3525,3642
2013,"N","SG",1843022.02300038,1866,2725,2860,2914,3165,4924
2014,"N","SG",2883013.95682251,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643794.74744234,4042,4977,5142,5137,5290,6063
2016,"N","SG",4102392.75281109,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81273763,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139752.3623409,2256,2571,2578,2627,2763,3108
2009,"N","SB",804044.28783105,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.17007537,1742,2110,2132,2169,2234,2990
2011,"N","SB",381915.13929507,2149,2551,2579,2567,2612,3163
2012,"N","SB",357837.18275466,1336,1627,1633,1647,1682,2204
2013,"N","SB",191220.73643034,1268,1545,1579,1689,1801,2380
2014,"N","SB",83465.3524788,2350,2714,2783,2785,2840,3393
2015,"N","SB",135525.88566225,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66639953,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.1045206,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",91439.55749016,1431,1742,1775,1776,1869,2047
2009,"N","AL",62270.38263321,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72359762,1642,1888,1888,1935,1908,2469
2011,"N","AL",37675.86317424,1265,1576,1730,1723,1898,2015
2012,"N","AL",17601.15823029,938.1,1173,1192,1200,1252,1337
2013,"N","AL",100715.11273899,489.3,916.9,1278,1119,1278,1520
2014,"N","AL",144807.2640639,2196,2429,2475,2464,2525,2575
2015,"N","AL",69852.72447657,1212,1755,1840,1822,1923,1989
2016,"N","AL",45058.54289553,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.62580125,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",62748716.7601329,1826,11460,11580,11490,11650,11870
2007,"Y","MZ",84156474.8970913,4519,10820,11000,10930,11030,11240
2008,"Y","MZ",99293676.5350723,5650,12910,12950,12930,13030,13200
2009,"Y","MZ",111534484.46667,4799,13450,13500,13480,13550,13630
2010,"Y","MZ",90242192.6489473,2875,11810,11920,11890,12010,12750
2011,"Y","MZ",97562817.9320965,4697,11650,11710,11690,11780,11940
2012,"Y","MZ",78815129.5846715,3034,10710,10790,10710,10860,11410
2013,"Y","MZ",71070775.8065905,2792,11830,11910,11880,12010,12610
2014,"Y","MZ",77759576.1497578,3467,12060,12130,12150,12350,12670
2015,"Y","MZ",83771156.9384502,6242,12940,12990,13020,13270,13400
2016,"Y","MZ",94497410.6225906,4213,12770,12880,12890,12970,13350
2017,"Y","MZ",101039386.470742,4069,13560,13600,13560,13630,13850
2006,"Y","WH",1243809.70969032,1596,4717,4758,4723,4860,4958
2007,"Y","WH",468145.63961973,2935,3133,3133,3143,3159,3337
2008,"Y","WH",373230.5426307,582.6,4036,4150,3631,4561,4625
2009,"Y","WH",1441299.87698922,3821,4547,4561,4535,4600,4788
2010,"Y","WH",881251.97557626,4452,4633,4633,4737,4991,5147
2011,"Y","WH",241078.02967611,1736,4474,4772,4579,4772,4966
2012,"Y","WH",1511850.43957635,3835,4302,4326,4342,4405,4680
2013,"Y","WH",1142351.96204574,1458,4241,4285,4210,4290,4726
2014,"Y","WH",2404125.1053486,989,4065,4120,4235,4405,5065
