"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",22088703.6,22.0887036,95.25,317.5,317.5,313.6,349.2,476.2
2007,"irrigation",22549618.35,22.54961835,95.25,254,254,252.8,254,412.8
2008,"irrigation",23914531.8,23.9145318,63.5,254,254,250.4,254,444.5
2009,"irrigation",21865761.45,21.86576145,31.75,190.5,222.2,211.6,222.2,285.8
2010,"irrigation",29885763.825,29.885763825,63.5,285.8,285.8,287,317.5,508
2011,"irrigation",19489035.825,19.489035825,95.25,190.5,190.5,184.8,190.5,571.5
2012,"irrigation",33370970.85,33.37097085,158.8,349.2,381,360.5,381,730.2
2013,"irrigation",25684267.275,25.684267275,127,285.8,285.8,288,317.5,476.2
2014,"irrigation",23451445.35,23.45144535,127,222.2,254,252.1,254,603.2
2015,"irrigation",23953050.9,23.9530509,63.5,254,254,241.4,254,444.5
2016,"irrigation",27136305.9,27.1363059,127,254,285.8,264,285.8,571.5
2017,"irrigation",23412126.15,23.41212615,127,222.2,254,238.6,254,539.8
2006,"recharge",10310322.2554449,10.3103222554449,0,0,22.16,42.3,88.43,309.9
2007,"recharge",24503279.8571325,24.5032798571325,0,81.14,105.1,100.5,124.9,372
2008,"recharge",26342606.3855904,26.3426063855904,0,52.4,114.2,108.1,148.4,442.2
2009,"recharge",43113446.1655164,43.1134461655164,0,128.5,180.9,176.9,238,470.1
2010,"recharge",27505023.9608736,27.5050239608736,0,77.88,116.9,112.8,143.5,378.9
2011,"recharge",28144780.4646081,28.1447804646081,0,51.07,98.83,115.5,167.8,493
2012,"recharge",10673670.2439222,10.6736702439222,0,26.66,38.15,43.79,57.13,203.6
2013,"recharge",10934066.8028097,10.9340668028097,0,0,48.2,44.86,71.93,241.8
2014,"recharge",18963769.1734548,18.9637691734548,0,15.41,67.19,77.81,128.3,424.9
2015,"recharge",36604704.1819995,36.6047041819995,0,81.09,160.5,150.2,210.2,501.4
2016,"recharge",35447904.4989303,35.4479044989303,0,89.32,125.9,145.4,197.5,452.9
2017,"recharge",71110065.0098151,71.1100650098151,34.05,215.8,279.6,291.8,371.6,802.5
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",130906114.760437,130.906114760437,333.5,460.9,519.5,537.1,611.8,804.2
2007,"etac",139321793.904189,139.321793904189,369.8,482.2,565.9,571.6,715.9,819.5
2008,"etac",146368213.202441,146.368213202441,383.2,481.7,588.4,600.5,737.6,903.4
2009,"etac",143625755.318224,143.625755318224,407.3,429,597.8,589.3,708.8,810.6
2010,"etac",137171985.094147,137.171985094147,331.5,476.2,542.7,562.8,712.7,885.6
2011,"etac",146194047.49778,146.19404749778,376.3,412.7,653.6,599.8,732.9,968.5
2012,"etac",119922452.524301,119.922452524301,252.8,386.9,426.8,492,682.2,994.1
2013,"etac",123934842.947178,123.934842947178,318.8,347.1,493.4,508.5,676.6,791.7
2014,"etac",136046462.998976,136.046462998976,331.9,431.5,563.8,558.2,686.5,993.6
2015,"etac",150552351.243295,150.552351243295,384.7,448.5,621.5,617.7,773.4,917.7
2016,"etac",145102713.188978,145.102713188978,325.4,522.3,579.7,595.3,708.8,988.7
2017,"etac",164807289.529417,164.807289529417,402.5,605,670.9,676.2,752.7,936.7
2006,"esac",78778254.0272571,78.7782540272571,235.3,302.9,320,323.2,347.4,463.6
2007,"esac",86920688.8407672,86.9206888407672,220.5,336.7,371.7,356.6,383.2,420.6
2008,"esac",88349432.7172869,88.3494327172869,245.2,344,364.6,362.5,383.7,456.9
2009,"esac",93546926.2125225,93.5469262125225,287.1,367.5,378.4,383.8,414.3,545.6
2010,"esac",78458749.7800185,78.4587497800185,192.7,296.6,336,321.9,345.2,460.1
2011,"esac",86315285.7015435,86.3152857015435,241.6,334.7,350.4,354.1,396.5,538.1
2012,"esac",63871628.5134189,63.8716285134189,157.3,231.6,265.1,262.1,302,368.4
2013,"esac",77281975.1736333,77.2819751736333,181.5,292.7,330.7,317.1,342.3,436.5
2014,"esac",77120787.2531544,77.1207872531544,243.5,298.4,314.1,316.4,333.4,491.6
2015,"esac",91422854.9011089,91.4228549011089,220.2,364,385.8,375.1,403.4,574.5
2016,"esac",76928933.1567555,76.9289331567555,230.5,296.3,318.7,315.6,336.5,463.4
2017,"esac",82348337.4248421,82.3483374248421,261.8,298.5,348.8,337.9,364.9,560.3
2006,"epac",52127860.7346624,52.1278607346624,0,157.1,212.4,213.9,301.5,491.4
2007,"epac",52401105.0518742,52.4011050518742,0,157.7,242.4,215,342.4,447
2008,"epac",58018780.4974407,58.0187804974407,0,133.6,255.3,238,371.3,626.4
2009,"epac",50078829.1033386,50.0788291033386,0,0,245.4,205.5,338.5,465
2010,"epac",58713235.3197126,58.7132353197126,0,182.4,265.2,240.9,374.8,629.5
2011,"epac",59878761.7945689,59.8787617945689,0,0,353.8,245.7,399.7,658.8
2012,"epac",56050823.9971035,56.0508239971035,0,154.3,191.8,230,380.9,723.8
2013,"epac",46652867.7814107,46.6528677814107,0,0,211.5,191.4,335,515.2
2014,"epac",58925675.7445707,58.9256757445707,0,100.3,271.9,241.8,375.9,664
2015,"epac",59129496.3447351,59.1294963447351,0,43.56,258.4,242.6,397.2,535.4
2016,"epac",68173780.0305069,68.1737800305069,0,210.4,266.7,279.7,384.9,728.3
2017,"epac",82458952.0998138,82.4589520998138,0,246.5,361.8,338.3,405.1,597.4
2006,"rofc",131932.0184634,0.1319320184634,0,0,0,0.5413,0,97.52
2007,"rofc",25534.5094332,0.0255345094332,0,0,0,0.1048,0,38.06
2008,"rofc",655088.1978078,0.6550881978078,0,0,0,2.688,0.4519,192.8
2009,"rofc",563422.8877515,0.5634228877515,0,0,0,2.312,0,187.1
2010,"rofc",73358.7816402,0.0733587816402,0,0,0,0.301,0,143.4
2011,"rofc",1178528.641065,1.178528641065,0,0,0,4.835,0,185.4
2012,"rofc",1663652.2608936,1.6636522608936,0,4.847,6.125,6.826,8.673,118.8
2013,"rofc",209035.9297269,0.2090359297269,0,0,0,0.8576,0.03846,115.5
2014,"rofc",122779.2145617,0.1227792145617,0,0,0,0.5037,0,115.3
2015,"rofc",1556491.0815585,1.5564910815585,0,0,3.978,6.386,11.12,169.3
2016,"rofc",3889620.829242,3.889620829242,0,0.2644,13.71,15.96,25.57,132.2
2017,"rofc",379384.8056028,0.3793848056028,0,0,0,1.557,0,320.9
