"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500825,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13271979.5394667,5527,6157,6390,6287,6439,7414
2009,"N","MZ",17741529.5461906,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.76097459,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19208046.317904,4324,5538,6176,6128,6723,7693
2012,"N","MZ",14062087.2923879,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15656039.8454474,2680,4179,4644,4574,5107,6482
2014,"N","MZ",14009280.0471732,3461,5053,5374,5258,5563,7354
2015,"N","MZ",29855346.5918909,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19684425.0250496,3901,5429,5639,5623,5890,7415
2017,"N","MZ",28875712.6910881,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587767.67024802,2760,2997,3085,3067,3127,3354
2008,"N","WH",2390328.88362288,540.8,639.8,685.3,815.8,1073,2096
2009,"N","WH",3899533.14634788,3364,4172,4348,4307,4470,4753
2010,"N","WH",8346008.01640203,4343,4789,4878,4854,4974,5177
2011,"N","WH",1183877.26677288,776.2,1457,2403,2154,2686,3233
2012,"N","WH",11772841.5724219,3068,4230,4338,4306,4411,4497
2013,"N","WH",2537588.02144923,986.4,1769,1859,1917,2155,2748
2014,"N","WH",6013647.30077604,302,1391,1672,1647,1863,2654
2015,"N","WH",2570315.45283837,202.3,1081,1588,1529,1995,2761
2016,"N","WH",11386667.7881145,3101,4515,4640,4644,4794,5083
2017,"N","WH",5747936.24120625,1010,2391,2607,2589,2856,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344298.30464453,3773,4558,4678,4596,4692,6028
2009,"N","SG",2098795.00182804,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899555,3481,4137,4452,4369,4528,5188
2011,"N","SG",722223.0206532,3442,4101,4189,4366,4702,5769
2012,"N","SG",596277.90377784,2844,3403,3493,3456,3525,3642
2013,"N","SG",1842903.93277809,1866,2725,2860,2914,3165,5031
2014,"N","SG",2883018.61197,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643795.27172978,4042,4977,5142,5137,5290,6063
2016,"N","SG",4102394.78680074,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81273772,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139750.7285403,2256,2571,2577,2627,2763,3108
2009,"N","SB",804044.28783105,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.17007537,1742,2110,2132,2169,2234,2990
2011,"N","SB",381917.19826188,2149,2551,2579,2567,2612,3163
2012,"N","SB",357837.18275907,1336,1627,1633,1647,1682,2204
2013,"N","SB",191377.76694948,1268,1545,1579,1690,1835,2313
2014,"N","SB",83463.59125431,2350,2714,2783,2785,2840,3393
2015,"N","SB",135525.97437075,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66639953,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10452069,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",91436.7226275,1431,1742,1775,1776,1869,2047
2009,"N","AL",62270.38263321,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72359762,1642,1888,1888,1935,1908,2469
2011,"N","AL",37672.2940707,1265,1576,1730,1723,1898,2015
2012,"N","AL",17601.15823047,938.1,1173,1192,1200,1252,1337
2013,"N","AL",100943.31151188,489.3,1013,1278,1122,1278,1520
2014,"N","AL",144807.59034072,2196,2429,2475,2464,2525,2575
2015,"N","AL",69852.75724386,1212,1755,1840,1822,1923,1989
2016,"N","AL",45058.54289553,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.62580449,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",62468782.4755467,1826,11400,11550,11440,11590,11860
2007,"Y","MZ",84990168.2148496,4519,10910,11130,11040,11150,11260
2008,"Y","MZ",100137375.743103,5650,13040,13070,13040,13090,13200
2009,"Y","MZ",111893544.656999,4799,13520,13540,13530,13560,13660
2010,"Y","MZ",90793346.3206009,2875,11880,12010,11970,12040,12790
2011,"Y","MZ",97411553.4355256,4697,11600,11680,11670,11730,11910
2012,"Y","MZ",79570229.4644703,3034,10760,10890,10810,10990,11600
2013,"Y","MZ",71701478.4752034,2792,11940,12010,11990,12080,12730
2014,"Y","MZ",77997079.0575712,3467,12130,12190,12190,12360,12720
2015,"Y","MZ",84259864.2967737,6242,13000,13110,13090,13290,13460
2016,"Y","MZ",94880393.0760612,4213,12800,12890,12940,13020,13420
2017,"Y","MZ",101061738.39656,4069,13560,13600,13570,13640,13850
2006,"Y","WH",1243807.12720719,1596,4717,4758,4723,4860,4958
2007,"Y","WH",468145.57622841,2935,3133,3133,3143,3159,3337
2008,"Y","WH",373203.26635941,582.6,4036,4150,3631,4561,4625
2009,"Y","WH",1441300.31498718,3821,4547,4561,4535,4600,4788
2010,"Y","WH",881250.20416611,4452,4633,4633,4737,4991,5147
2011,"Y","WH",241192.09203129,1736,4474,4772,4581,4772,4966
2012,"Y","WH",1511835.49958454,3835,4302,4326,4342,4405,4680
2013,"Y","WH",1142484.51250674,1458,4241,4287,4210,4289,4728
2014,"Y","WH",2404027.18246689,989,4065,4120,4235,4405,5065
