"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500795,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13271676.0661239,5527,6156,6390,6287,6439,7414
2009,"N","MZ",17773010.2489042,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.76094714,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19079677.8569433,4324,5471,6160,6087,6723,7693
2012,"N","MZ",14061836.3361202,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15280048.9895224,2680,4112,4555,4464,4906,6482
2014,"N","MZ",14005707.5369474,3461,5053,5374,5257,5563,7354
2015,"N","MZ",29855309.99464,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682244.3269103,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6827188,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587863.12853193,2760,2997,3086,3067,3127,3354
2008,"N","WH",2345255.52471936,540.8,639.8,685.3,800.4,831.8,2096
2009,"N","WH",3899383.16783985,3364,4165,4282,4287,4456,4753
2010,"N","WH",8345975.82234003,4343,4789,4878,4854,4974,5177
2011,"N","WH",1111693.6871172,776.2,1457,1779,2023,2686,3237
2012,"N","WH",11767332.2232784,3068,4230,4338,4304,4411,4497
2013,"N","WH",2516965.68078882,986.4,1769,1846,1902,2051,2745
2014,"N","WH",5760612.95724855,254.9,1374,1588,1578,1837,2609
2015,"N","WH",2459893.0826448,202.3,889,1536,1463,1937,2761
2016,"N","WH",11361338.3866185,3101,4514,4636,4633,4794,5083
2017,"N","WH",5722616.3643396,1010,2391,2594,2578,2856,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344297.30330201,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899555,3481,4137,4452,4369,4528,5188
2011,"N","SG",721723.60662219,3442,4101,4189,4363,4702,5769
2012,"N","SG",596277.90033156,2844,3403,3493,3456,3525,3642
2013,"N","SG",1834867.23453774,1866,2725,2860,2900,3165,4246
2014,"N","SG",2883007.28033676,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643798.81838444,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102382.53895265,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81273664,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139742.8144182,2256,2571,2577,2627,2763,3108
2009,"N","SB",804044.2878306,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.17003811,1742,2110,2132,2169,2234,2990
2011,"N","SB",381344.71951746,2149,2551,2579,2563,2609,3163
2012,"N","SB",357826.0238406,1336,1627,1633,1647,1682,2146
2013,"N","SB",182946.38687298,1268,1545,1579,1616,1688,2157
2014,"N","SB",83456.29122435,2350,2714,2783,2785,2840,3393
2015,"N","SB",135524.97117531,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66639674,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10449855,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",91424.66570361,1431,1742,1775,1776,1869,2047
2009,"N","AL",62270.38263465,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72359744,1642,1888,1888,1935,1908,2469
2011,"N","AL",37661.31961281,1265,1576,1730,1722,1898,2015
2012,"N","AL",17601.158214,938.1,1173,1192,1200,1252,1337
2013,"N","AL",90160.71616755,489.3,830.5,1077,1002,1134,1519
2014,"N","AL",144795.246408,2196,2429,2475,2464,2525,2575
2015,"N","AL",69851.90145465,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54271904,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.61488587,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",59276074.6415612,1826,10870,10940,10860,11110,11850
2007,"Y","MZ",82083274.4003035,4519,10520,10730,10660,10850,11210
2008,"Y","MZ",96842505.3341757,5650,12500,12570,12610,12790,13200
2009,"Y","MZ",107032500.008258,4860,12790,12850,12950,13140,13590
2010,"Y","MZ",86214015.3417115,2875,11160,11300,11360,11560,12540
2011,"Y","MZ",94940684.2197306,4697,11240,11390,11370,11620,11890
2012,"Y","MZ",75194669.1852056,3034,10190,10340,10220,10440,11040
2013,"Y","MZ",68954797.4091938,2792,11500,11610,11530,11740,12440
2014,"Y","MZ",74952928.2256745,3467,11610,11720,11710,11870,12640
2015,"Y","MZ",82553061.7394431,6242,12700,12820,12830,13070,13390
2016,"Y","MZ",92108634.0271098,4213,12400,12600,12560,12730,13350
2017,"Y","MZ",100693534.05017,4069,13510,13560,13520,13610,13800
2006,"Y","WH",1243661.06721726,1596,4717,4753,4723,4861,4958
2007,"Y","WH",468158.19589359,2935,3133,3133,3143,3159,3337
2008,"Y","WH",363590.34343866,582.6,4005,4080,3541,4330,4435
2009,"Y","WH",1416615.70072329,3821,4502,4547,4517,4561,4788
2010,"Y","WH",881255.65517577,4452,4633,4633,4737,4991,5147
2011,"Y","WH",239722.4232189,1736,4461,4737,4553,4771,4966
2012,"Y","WH",1522237.23226431,3842,4322,4342,4360,4421,4701
2013,"Y","WH",1129740.34703805,1458,4207,4247,4163,4257,4655
2014,"Y","WH",2391943.33143171,514.4,4065,4114,4213,4405,5065
2015,"Y","WH",1773385.14248325,330.8,1598,1616,2185,2988,3327
2016,"Y","WH",3833875.73739384,4228,4483,4669,4585,4680,5160
2017,"Y","WH",1524082.05735066,1010,4527,4647,4571,4680,5335
2006,"Y","SG",4069935.01729296,4342,5510,5537,5568,5690,5996
2007,"Y","SG",650559.19850829,3579,5585,5604,5612,5613,5953
2008,"Y","SG",942503.96711259,4163,5662,5702,5710,5745,6024
2009,"Y","SG",640969.11977184,5708,6161,6167,6171,6181,6306
2010,"Y","SG",824868.19797183,4246,5516,5590,5602,5733,5849
2011,"Y","SG",826066.0244349,4902,5392,5441,5447,5464,5747
2012,"Y","SG",843845.72626242,3397,5248,5362,5324,5457,5466
2013,"Y","SG",4879738.15847487,2962,5013,5182,5148,5278,5551
2014,"Y","SG",7662091.97622654,4148,5949,6027,6028,6136,6399
2015,"Y","SG",7382371.26089232,4527,5894,5919,5904,5953,6116
2016,"Y","SG",6603715.55288988,4093,5694,5748,5761,5846,5976
2017,"Y","SG",3410585.23368393,5196,5826,5859,5849,5900,6089
2006,"Y","SB",845986.28257071,3158,3437,3487,3494,3570,3713
2007,"Y","SB",2124534.70295451,2972,3330,3355,3367,3408,3584
2008,"Y","SB",4602456.03514275,2571,3484,3551,3569,3679,3783
2009,"Y","SB",5829953.47369848,2743,3768,3817,3831,3908,3998
2010,"Y","SB",7705826.01419256,2137,3400,3444,3456,3517,3689
2011,"Y","SB",5224759.36214472,2447,3378,3414,3414,3455,3666
2012,"Y","SB",3857396.22065799,1662,3130,3161,3186,3271,3490
2013,"Y","SB",4626924.99553125,1458,3241,3288,3276,3345,3550
2014,"Y","SB",2835585.31291992,2596,3705,3802,3798,3900,3999
2015,"Y","SB",4146147.07798977,2590,3638,3664,3668,3703,3825
2016,"Y","SB",2502585.4715019,2675,3533,3572,3559,3616,3681
2017,"Y","SB",4117633.79366349,2923,3763,3773,3767,3781,3840
2006,"Y","AL",1100274.60791376,2956,3154,3175,3185,3229,3250
2007,"Y","AL",951721.25328081,1853,3198,3215,3238,3291,3315
2008,"Y","AL",934952.56306668,1754,3231,3315,3273,3331,3333
2009,"Y","AL",379109.06457552,2211,3279,3290,3304,3304,3418
2010,"Y","AL",831859.99502994,2173,3162,3237,3209,3269,3281
2011,"Y","AL",738395.81609652,2658,3022,3101,3097,3175,3206
2012,"Y","AL",412917.50148948,1252,2710,2733,2752,2817,2877
2013,"Y","AL",688725.16767522,593.6,2486,2626,2589,2774,2858
2014,"Y","AL",910541.1555234,2439,3319,3344,3336,3374,3405
2015,"Y","AL",490888.96412868,1741,2991,3005,2918,3050,3160
2016,"Y","AL",384719.51857311,1347,2898,2946,2940,3087,3122
2017,"Y","AL",518961.17739753,1902,3007,3067,3038,3092,3106
