"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",14242694.4,14.2426944,38.1,209.6,209.6,202.2,228.6,285.8
2007,"irrigation",15139566.495,15.139566495,57.15,171.4,171.4,169.7,171.5,266.7
2008,"irrigation",13827648.24,13.82764824,19.05,133.4,152.4,144.8,152.4,304.8
2009,"irrigation",14087052.09,14.08705209,19.05,133.3,133.4,136.5,152.4,171.5
2010,"irrigation",21432895.92,21.43289592,38.1,190.5,209.6,205.9,228.6,342.9
2011,"irrigation",13477375.89,13.47737589,38.1,114.3,133.4,127.8,133.4,304.8
2012,"irrigation",23755409.055,23.755409055,95.25,247.7,266.7,256.6,266.7,495.3
2013,"irrigation",17108704.035,17.108704035,57.15,171.5,209.5,191.9,209.6,304.8
2014,"irrigation",15424533.54,15.42453354,76.2,152.4,171.4,165.8,171.5,400
2015,"irrigation",16696795.41,16.69679541,38.1,171.4,171.5,168.3,190.5,285.8
2016,"irrigation",17721792.09,17.72179209,76.2,171.4,190.5,172.4,190.5,342.9
2017,"irrigation",15185343.645,15.185343645,76.2,152.4,152.4,154.8,171.5,342.9
2006,"recharge",5950135.9479654,5.9501359479654,0,0,0,24.41,22.42,254.7
2007,"recharge",21452467.8073797,21.4524678073797,0,64.83,89.3,88.02,111.3,306.5
2008,"recharge",16420855.8140109,16.4208558140109,0,18.74,40.59,67.37,92.39,401.2
2009,"recharge",37354013.4491442,37.3540134491442,0,115,121.1,153.3,237.6,402.8
2010,"recharge",25486007.2934886,25.4860072934886,0,76.44,104.9,104.6,116.8,372.6
2011,"recharge",19745198.8983027,19.7451988983027,0,2.23,32.4,81.01,167.8,398
2012,"recharge",8594727.3454482,8.5947273454482,0,20.15,28.64,35.26,38.26,153
2013,"recharge",4992076.2426156,4.9920762426156,0,0,0,20.48,31.74,209.3
2014,"recharge",12957971.4426762,12.9579714426762,0,9.874,37.79,53.16,67.78,316.3
2015,"recharge",28516317.1012728,28.5163171012728,0,57.16,98.81,117,176.6,406
2016,"recharge",28305367.5547791,28.3053675547791,0,87.83,106.4,116.1,130.4,427.4
2017,"recharge",63379571.5096929,63.3795715096929,34.05,213.9,266.7,260,298.2,573.4
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
