"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500813,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13473620.4232342,5527,6156,6390,6289,6439,7414
2009,"N","MZ",17779972.8701992,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.75984113,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19070054.663459,4324,5471,6160,6084,6723,7693
2012,"N","MZ",14061673.2793868,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15292195.8839032,2680,4112,4563,4467,4906,6477
2014,"N","MZ",14007055.684861,3461,5053,5374,5257,5563,7354
2015,"N","MZ",29855273.5033239,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682445.1523079,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6879926,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587837.04970317,2760,2997,3086,3067,3127,3354
2008,"N","WH",2342895.29224056,540.8,639.8,685.3,793.7,819.4,2096
2009,"N","WH",4299017.03099703,3364,4173,4333,4302,4478,4753
2010,"N","WH",8345251.17686799,4343,4789,4878,4854,4972,5177
2011,"N","WH",1104809.00579802,776.2,1457,1910,2010,2673,3217
2012,"N","WH",11768203.8003956,3068,4230,4338,4304,4411,4497
2013,"N","WH",2516547.58795332,986.4,1769,1842,1902,2055,2745
2014,"N","WH",5758144.53959916,254.7,1363,1588,1577,1837,2609
2015,"N","WH",2470042.84105665,202.3,889,1538,1469,1959,2761
2016,"N","WH",11363125.4521015,3101,4514,4636,4634,4794,5083
2017,"N","WH",5696368.74905274,1010,2391,2601,2566,2855,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344744.13541739,3773,4558,4678,4596,4692,6028
2009,"N","SG",2099713.1494104,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899456,3481,4137,4452,4369,4528,5188
2011,"N","SG",721566.26468559,3442,4101,4189,4362,4702,5769
2012,"N","SG",596277.90305424,2844,3403,3493,3456,3525,3642
2013,"N","SG",1834686.73751823,1866,2725,2860,2900,3163,4222
2014,"N","SG",2883002.59353465,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643791.52738553,4042,4977,5141,5137,5290,6063
2016,"N","SG",4102381.95559902,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81273043,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139743.53573292,2256,2571,2577,2627,2763,3108
2009,"N","SB",805323.1397697,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.16981527,1742,2110,2132,2169,2234,2990
2011,"N","SB",381123.3580992,2149,2551,2579,2562,2594,3163
2012,"N","SB",357833.36848248,1336,1627,1633,1647,1682,2163
2013,"N","SB",182773.39542858,1268,1545,1579,1614,1672,2157
2014,"N","SB",83452.4672877,2350,2714,2783,2785,2840,3393
2015,"N","SB",135524.43968787,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66639152,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.1044288,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",94961.62038186,1431,1742,1775,1779,1871,2047
2009,"N","AL",62469.41057073,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72359402,1642,1888,1888,1935,1908,2469
2011,"N","AL",37646.7849324,1265,1576,1728,1721,1898,2015
2012,"N","AL",17601.1581636,938.1,1173,1192,1200,1252,1337
2013,"N","AL",91188.51814854,489.3,830.5,1098,1013,1107,1520
2014,"N","AL",144794.13927318,2196,2429,2475,2464,2525,2575
2015,"N","AL",69851.41979877,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54274658,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.62121872,1672,1911,1963,1960,1985,2154
